"UNIVERSITY OF NORTHERN IOWA
DEPARTMENT OF PUBLIC SAFETY CRIME/FIRE LOG",,,,,
Case Number,Description,General Location,Date/Time Reported,Incident Occurrance Date/Time(s),Disposition
13-588,Indecent Exposure,Wellness Recreation,12/14/2013 1405,12/14/2013 1405,Closed
13-590,Assault,Dancer Hall,12/15/2013 1411,12/15/2013 1411,Closed
13-591,Harassment,Dancer Hall,12/15/2013 1506,12/13/2013 0900 - 12/15/2013 1500,Closed
13-593,Drug Law Violation,Dancer Hall,12/16/2013 0018,12/16/2013 0018 ,Open
13-595,Theft,Dancer Hall,12/16/2013 1037,,Closed
13-596,Theft,West Gym,12/16/2013 1625,12/12/2013 1100 - 12/12/2013 1115,Open
13-597,Harassment,Redeker Center,12/16/2013 1759,,Open
13-599,Drug Law Violation,G St,12/16/2013 2024,12/16/2013 2024,Unfounded
13-603,Theft,Library,12/18/2013 1409,12/05/2013 0000 - 12/17/2013 2359,Open
13-604,Liquor Law Violation,Campbell Lot,12/19/2013 0211,12/19/2013 0211,Closed
13-605,Liquor Law Violation,Redeker Center,12/19/2013 0405,12/19/2013 0405,Closed
13-606,Disorderly,Bender Hall,12/20/2013 0058,12/20/2013 0058,Open
13-608,Theft,Noehren Hall,12/20/2013 1442,12/12/2013 1800 - 12/12/2013 1830,Open
13-611,Drug Law Violation,Shull Hall,12/29/2013 1509,12/29/2013 - 1509,Unfounded
13-612,Operating Without Owners Consent,Towers Drive,12/30/2013 1824,12/29/2013 1100 - 12/30/2013 1824,Closed
14-001,Drug Law Violation,Shull Hall,01/01/2014 1645,01/01/2014 1645,closed
14-002,Drug Law Violation,Bender Hall,01/05/2014 1537,01/05/2014 1537,Unfounded
14-011,Theft,Jennings Drive,01/09/2014 1409 ,12/09/2013 0000 - 01/09/2014 1409,Open
14-012,Drug Law Violation,Bender Hall,01/09/2014 2255,01/09/2014 2255,Unfounded
14-013,Theft,Panther Village,01/10/2014 1203,12/20/2013 0000 - 01/10/2014 1203,Open
14-015,Traffic Criminal,McLeod Center,01/11/2014 0145,01/11/2014 0145,Closed
14-016,Liquor Law Violation,College St / 2500 Blk,01/12/2014 0251,01/12/2014 0251,Closed
14-018,Theft,F st,01/13/2014 1349,12/21/2013 1000 - 01/13/2014 1320,Open
14-022,Liquor Law Violation,Parking Ramp,01/17/2014 0015,01/17/2014 0015,Closed
14-024,Burglary,Hagemann Hall,01/17/2014 1223,12/20/2013 0000 - 01/12/2014 2359,Open
14-025,Theft,North Dome Lot,01/17/2014 1406,01/15/2014 1230 - 01/17/2014 1400,Closed
14-026,Harassment,West Gym,1/17/14 15:46,01/09/2014 1400 - 01/17/2014 1546,Open
