date,times,crime,location,disposition,location_geo
5/14/13,7:52:49,LARCENY/THEFT/SHOPLIFTING,721 OLIVE ST,REPORT INITIATED,721 OLIVE ST Cedar Falls Iowa
5/14/13,9:30:15,LARCENY/THEFT/SHOPLIFTING,409-.5 WALNUT ST,REPORT INITIATED,409-.5 WALNUT ST Cedar Falls Iowa
5/14/13,13:35:33,ASSAULT,1119-6 MAPLEWOOD DR,REPORT INITIATED,1119-6 MAPLEWOOD DR Cedar Falls Iowa
5/14/13,13:56:45,LARCENY/THEFT/SHOPLIFTING,514 WALNUT ST,REPORT INITIATED,514 WALNUT ST Cedar Falls Iowa
5/14/13,15:51:25,LARCENY/THEFT/SHOPLIFTING,1409 IOWA ST,REPORT INITIATED,1409 IOWA ST Cedar Falls Iowa
5/14/13,16:06:47,LARCENY/THEFT/SHOPLIFTING,1408 IOWA ST,REPORT INITIATED,1408 IOWA ST Cedar Falls Iowa
5/14/13,17:16:10,ASSAULT,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa
5/14/13,18:33:20,LARCENY/THEFT/SHOPLIFTING,402 VIKING PLAZA DR,REPORT INITIATED,402 VIKING PLAZA DR Cedar Falls Iowa
5/14/13,18:49:29,ASSAULT,2419 FERN AV,REPORT INITIATED,2419 FERN AV Cedar Falls Iowa
5/14/13,22:09:25,LARCENY/THEFT/SHOPLIFTING,1016 WALNUT ST,REPORT INITIATED,1016 WALNUT ST Cedar Falls Iowa
