90,times,crime,location,disposition,location_geo,lat,long
8/1/12,11:39:30,ASSAULT,626 SUMMIT AV,ASSISTED,626 SUMMIT AV Waterloo Iowa,42.48968,-92.364867
8/1/12,12:44:54,WEAPONS VIOLATIONS,919 ONEIDA ST,WARNED & ADVISED,919 ONEIDA ST Waterloo Iowa,42.507522,-92.319194
8/1/12,15:06:36,BURGLARY,727 HOME PARK BLVD,REPORT INITIATED,727 HOME PARK BLVD Waterloo Iowa,42.485407,-92.36647
8/1/12,18:13:50,BURGLARY,2121 W 3RD ST,REPORT INITIATED,2121 W 3RD ST Waterloo Iowa,42.486395,-92.3661
8/1/12,21:14:11,MVA HIT & RUN,LAFAYETTE ST and E MULLAN AV,REPORT INITIATED,LAFAYETTE ST and E MULLAN AV Waterloo Iowa,42.502541,-92.340292
8/1/12,23:08:47,ASSAULT,527 LOCUST ST,REPORT INITIATED,527 LOCUST ST Waterloo Iowa,42.487875,-92.348325
8/1/12,23:47:14,ASSAULT,136 RICKER ST,EXTRA ATTENTION,136 RICKER ST Waterloo Iowa,42.513978,-92.333256
8/2/12,3:47:11,WEAPON:SHOTS FIRED,510 SUMNER ST,REPORT INITIATED,510 SUMNER ST Waterloo Iowa,42.508002,-92.326002
8/2/12,9:22:35,BURGLARY,1106 LORRAINE AV,REPORT INITIATED,1106 LORRAINE AV Waterloo Iowa,42.473662,-92.342019
8/2/12,19:44:12,ASSAULT,2834 ANSBOROUGH AV,REPORT INITIATED,2834 ANSBOROUGH AV Waterloo Iowa,42.471761,-92.377127
8/2/12,20:42:49,WEAPONS VIOLATIONS,1100-BLK LINCOLN ST,WARNED & ADVISED,1100-BLK LINCOLN ST Waterloo Iowa,42.5167,-92.341411
8/2/12,23:14:02,ASSAULT/AMBULANCE REQUESTED,218 E 9TH ST,REPORT INITIATED,218 E 9TH ST Waterloo Iowa,42.495143,-92.329915
8/3/12,1:12:10,ASSAULT,501 W 4TH ST,REPORT INITIATED,501 W 4TH ST Waterloo Iowa,42.492762,-92.342582
8/3/12,12:36:35,MVA HIT & RUN,215 TERRACE DR,REPORT INITIATED,215 TERRACE DR Waterloo Iowa,42.474171,-92.354034
8/3/12,13:38:16,SHOOTING IN PROGRESS/JUST,302 ALLEN ST,REPORT INITIATED,302 ALLEN ST Waterloo Iowa,42.491104,-92.350014
8/3/12,19:52:51,ASSAULT IN PROGRESS/JUST,409 ELM ST,REPORT INITIATED,409 ELM ST Waterloo Iowa,42.494733,-92.324164
