date,times,crime,location,disposition,location_geo,
01/31/2014,04:13:55,ASSAULT,3421 W 9TH ST,REPORT INITIATED,3421 W 9TH ST Waterloo Iowa
01/31/2014,16:05:11,LARCENY/THEFT/SHOPLIFTING,107 FRENCH ST,REPORT INITIATED,107 FRENCH ST Waterloo Iowa
01/31/2014,16:46:38,LARCENY/THEFT/SHOPLIFTING,2060-200 CROSSROADS BLVD,REPORT INITIATED,2060-200 CROSSROADS BLVD Waterloo Iowa
01/31/2014,20:10:00,ASSAULT,715 MULBERRY ST,REPORT INITIATED,715 MULBERRY ST Waterloo Iowa
02/01/2014,01:59:35,STABBING IN PROGRESS/JUST,4066 NORTH AV,REPORT INITIATED,4066 NORTH AV Waterloo Iowa
02/01/2014,13:59:59,WEAPONS VIOLATIONS,E ARGYLE ST and CLAY ST,REPORT INITIATED,E ARGYLE ST and CLAY ST Waterloo Iowa
02/01/2014,14:44:39,LARCENY/THEFT/SHOPLIFTING,4000 UNIVERSITY AV,REPORT INITIATED,4000 UNIVERSITY AV Waterloo Iowa
02/01/2014,15:09:48,ASSAULT/AMBULANCE REQUESTED,850-3 W 4TH ST,REPORT INITIATED,850-3 W 4TH ST Waterloo Iowa
02/01/2014,17:16:38,ASSAULT IN PROGRESS/JUST,135 PROSPECT AV,REPORT INITIATED,135 PROSPECT AV Waterloo Iowa
02/01/2014,18:53:24,LARCENY/THEFT/SHOPLIFTING,1513 FLAMMANG DR,REPORT INITIATED,1513 FLAMMANG DR Waterloo Iowa
02/01/2014,21:17:56,ASSAULT,1002-4 W 4TH ST,REPORT INITIATED,1002-4 W 4TH ST Waterloo Iowa
02/02/2014,01:54:37,ASSAULT IN PROGRESS/JUST,304-308 W 4TH ST,WARNED & ADVISED,304-308 W 4TH ST Waterloo Iowa
02/02/2014,13:05:20,LARCENY/THEFT/SHOPLIFTING,4000 UNIVERSITY AV,REPORT INITIATED,4000 UNIVERSITY AV Waterloo Iowa
02/02/2014,13:15:52,LARCENY/THEFT/SHOPLIFTING,2520 KENYON AV,REPORT INITIATED,2520 KENYON AV Waterloo Iowa
02/02/2014,13:41:05,LARCENY IN PROGRESS,4011 SHOPPERS BLVD,REPORT INITIATED,4011 SHOPPERS BLVD Waterloo Iowa
02/02/2014,15:48:45,ROBBERY,222 PARK VIEW BLVD,REPORT INITIATED,222 PARK VIEW BLVD Waterloo Iowa
02/02/2014,17:11:14,BURGLARY,323 POLK ST,REPORT INITIATED,323 POLK ST Waterloo Iowa
02/02/2014,23:53:12,ASSAULT IN PROGRESS/JUST,432 JAMES ST,REPORT INITIATED,432 JAMES ST Waterloo Iowa
02/03/2014,00:30:00,LARCENY/THEFT/SHOPLIFTING,3350-224 UNIVERSITY AV,REPORT INITIATED,3350-224 UNIVERSITY AV Waterloo Iowa
02/03/2014,15:04:58,LARCENY/THEFT/SHOPLIFTING,3445 KINGSWOOD PL,REPORT INITIATED,3445 KINGSWOOD PL Waterloo Iowa
02/03/2014,15:21:13,LARCENY/THEFT/SHOPLIFTING,1976 FRANKLIN ST,REPORT INITIATED,1976 FRANKLIN ST Waterloo Iowa
02/03/2014,16:47:49,LARCENY IN PROGRESS,1976 FRANKLIN ST,REPORT INITIATED,1976 FRANKLIN ST Waterloo Iowa
02/04/2014,07:39:19,LARCENY/THEFT/SHOPLIFTING,3105-288 KENNEDY LN,REPORT INITIATED,3105-288 KENNEDY LN Waterloo Iowa
02/04/2014,08:44:44,LARCENY/THEFT/SHOPLIFTING,214 HIGH ST,REPORT INITIATED,214 HIGH ST Waterloo Iowa
02/04/2014,09:05:08,LARCENY/THEFT/SHOPLIFTING,703 W 7TH ST,REPORT INITIATED,703 W 7TH ST Waterloo Iowa
02/04/2014,10:27:33,LARCENY/THEFT/SHOPLIFTING,324 FLETCHER AV,REFERRED WITHIN DEPT,324 FLETCHER AV Waterloo Iowa
02/04/2014,12:36:40,LARCENY IN PROGRESS,66 E TOWER PARK DR,REPORT INITIATED,66 E TOWER PARK DR Waterloo Iowa
02/04/2014,13:41:00,LARCENY/THEFT/SHOPLIFTING,2060-243 CROSSROADS BLVD,REPORT INITIATED,2060-243 CROSSROADS BLVD Waterloo Iowa
02/04/2014,17:27:29,ASSAULT,1003 INDEPENDENCE AV,REPORT INITIATED,1003 INDEPENDENCE AV Waterloo Iowa
02/04/2014,21:07:09,WEAPON:SHOTS FIRED,1324 SOUTH ST,REPORT INITIATED,1324 SOUTH ST Waterloo Iowa
02/05/2014,10:39:29,LARCENY/THEFT/SHOPLIFTING,1334 FLAMMANG DR,WARNED & ADVISED,1334 FLAMMANG DR Waterloo Iowa
02/05/2014,11:15:14,LARCENY/THEFT/SHOPLIFTING,275 RAMPART LN,REPORT INITIATED,275 RAMPART LN Waterloo Iowa
02/05/2014,11:52:14,LARCENY/THEFT/SHOPLIFTING,600 PARK LN,REPORT INITIATED,600 PARK LN Waterloo Iowa
02/05/2014,17:10:34,BURGLARY,319 CUTLER ST,EXTRA ATTENTION,319 CUTLER ST Waterloo Iowa
02/06/2014,01:36:21,LARCENY/THEFT/SHOPLIFTING,2517 RANDOLPH ST,REPORT INITIATED,2517 RANDOLPH ST Waterloo Iowa
02/06/2014,08:03:11,BURGLARY,221 LINDEN AV,REPORT INITIATED,221 LINDEN AV Waterloo Iowa
02/06/2014,09:39:46,LARCENY/THEFT/SHOPLIFTING,815 W 9TH ST,REPORT INITIATED,815 W 9TH ST Waterloo Iowa
02/06/2014,10:54:18,LARCENY/THEFT/SHOPLIFTING,1012 WELLINGTON ST,REPORT INITIATED,1012 WELLINGTON ST Waterloo Iowa
02/06/2014,11:23:17,BURGLARY,2949 LAFAYETTE ST,REPORT INITIATED,2949 LAFAYETTE ST Waterloo Iowa
02/06/2014,16:45:53,STABBING IN PROGRESS/JUST,2643 W 4TH ST,REPORT INITIATED,2643 W 4TH ST Waterloo Iowa
02/06/2014,19:04:25,BURGLARY,708 ELLIOTT CT,REPORT INITIATED,708 ELLIOTT CT Waterloo Iowa
