date,times,crime,location,disposition,location_geo,lat,long
2/1/13,14:14:17,MVA HIT & RUN,623 W 6TH ST,REPORT INITIATED,623 W 6TH ST Cedar Falls Iowa,42.533387,-92.453153
2/1/13,22:12:04,BURGLARY IN PROGRESS/JUST,2235-87 LINCOLN ST,REPORT INITIATED,2235-87 LINCOLN ST Cedar Falls Iowa,42.539889,-92.417065
2/2/13,16:02:24,MVA HIT & RUN,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.511099,-92.435961
2/2/13,23:55:38,MVA HIT & RUN,22ND ST and IOWA ST,REPORT INITIATED,22ND ST and IOWA ST Cedar Falls Iowa,42.517709,-92.452102
2/3/13,21:58:11,MVA HIT & RUN,1003 CEDAR ST,INFO EXCHANGE,1003 CEDAR ST Cedar Falls Iowa,42.555564,-92.457281
2/6/13,13:50:14,ASSAULT,604 W 12TH ST,REPORT INITIATED,604 W 12TH ST Cedar Falls Iowa,42.527354,-92.452363
2/7/13,10:46:56,WEAPONS VIOLATIONS,2024 CENTER ST,REPORT INITIATED,2024 CENTER ST Cedar Falls Iowa,42.55477,-92.456263
2/7/13,16:00:10,MVA HIT & RUN,220 E 9TH ST,REPORT INITIATED,220 E 9TH ST Cedar Falls Iowa,42.530678,-92.443416
2/8/13,15:56:06,BURGLARY,404 N FRANCIS ST,REPORT INITIATED,404 N FRANCIS ST Cedar Falls Iowa,42.541073,-92.462344
2/9/13,1:35:50,BURGLARY IN PROGRESS/JUST,504 N HIGHLAND DR,REPORT INITIATED,504 N HIGHLAND DR Cedar Falls Iowa,42.54188,-92.469472
2/10/13,17:27:46,MVA HIT & RUN,100-BLK E 4TH ST,REPORT INITIATED,100-BLK E 4TH ST Cedar Falls Iowa,42.53505,-92.44556
2/12/13,14:15:42,MVA HIT & RUN,2019 COLLEGE ST,REPORT INITIATED,2019 COLLEGE ST Cedar Falls Iowa,42.51893,-92.456235
2/13/13,19:17:45,ASSAULT,2218 COLLEGE ST,REPORT INITIATED,2218 COLLEGE ST Cedar Falls Iowa,42.517139,-92.455453
2/15/13,15:31:48,MVA HIT & RUN,22ND ST and COLLEGE ST,REPORT INITIATED,22ND ST and COLLEGE ST Cedar Falls Iowa,42.517801,-92.455755
2/15/13,20:18:21,MVA HIT & RUN,1319 WALNUT ST,REPORT INITIATED,1319 WALNUT ST Cedar Falls Iowa,42.526085,-92.453399
2/17/13,14:54:14,MVA HIT & RUN,1918 WALNUT ST,REPORT INITIATED,1918 WALNUT ST Cedar Falls Iowa,42.520596,-92.453019
2/19/13,16:33:12,MVA HIT & RUN,2910 S MAIN ST,REPORT INITIATED,2910 S MAIN ST Cedar Falls Iowa,42.511385,-92.445754
2/22/13,3:19:21,MVA HIT & RUN,1813-21 W 8TH ST,REPORT INITIATED,1813-21 W 8TH ST Cedar Falls Iowa,42.531425,-92.466441
2/22/13,8:45:27,MVA HIT & RUN,2512 WHITETAIL DR,REPORT INITIATED,2512 WHITETAIL DR Cedar Falls Iowa,42.53985,-92.475514
2/23/13,1:32:24,ASSAULT,2222 COLLEGE ST,REPORT INITIATED,2222 COLLEGE ST Cedar Falls Iowa,42.517033,-92.455506
2/23/13,11:33:39,MVA HIT & RUN,5826 UNIVERSITY AV,REPORT INITIATED,5826 UNIVERSITY AV Cedar Falls Iowa,42.513785,-92.428879
2/23/13,12:36:43,MVA HIT & RUN,2124 W 27TH ST,REPORT INITIATED,2124 W 27TH ST Cedar Falls Iowa,42.512065,-92.471818
2/24/13,19:27:36,MVA HIT & RUN,706-73 W 26TH ST,REPORT INITIATED,706-73 W 26TH ST Cedar Falls Iowa,42.514063,-92.453678
2/25/13,8:54:28,MVA HIT & RUN,7TH ST and FRANKLIN ST,REPORT INITIATED,7TH ST and FRANKLIN ST Cedar Falls Iowa,42.532303,-92.449513
2/25/13,17:06:16,MVA HIT & RUN,1300-BLK W 23RD ST,REPORT INITIATED,1300-BLK W 23RD ST Cedar Falls Iowa,42.5167,-92.460594
2/26/13,11:56:34,MVA HIT & RUN,1009 W 23RD ST,REFERRED WITHIN DEPT,1009 W 23RD ST Cedar Falls Iowa,42.517173,-92.457074
2/26/13,14:44:33,MVA HIT & RUN,22ND ST and FRANKLIN ST,REPORT INITIATED,22ND ST and FRANKLIN ST Cedar Falls Iowa,42.517713,-92.449473
2/28/13,13:23:05,ASSAULT,1813-3 W 8TH ST,REPORT INITIATED,1813-3 W 8TH ST Cedar Falls Iowa,42.531425,-92.466441
2/28/13,17:57:19,ASSAULT,2235 LINCOLN ST,REPORT INITIATED,2235 LINCOLN ST Cedar Falls Iowa,42.539889,-92.417065
