date,times,crime,location,disposition,location_geo,lat,long
7/1/13,10:37:03,BURGLARY,3701 FORD RD,REPORT INITIATED,3701 FORD RD Cedar Falls Iowa,-92.475521,42.569242
7/1/13,22:30:38,ASSAULT IN PROGRESS/JUST,1212 LILAC LN,REPORT INITIATED,1212 LILAC LN Cedar Falls Iowa,42.507737,-92.431644
7/2/13,0:08:11,ASSAULT IN PROGRESS/JUST,2216-34 LINCOLN ST,E1,2216 LINCOLN ST Cedar Falls Iowa,42.54203155,-92.41832706
7/3/13,10:02:04,BURGLARY,1416 FRANKLIN ST,REPORT INITIATED,1416 FRANKLIN ST Cedar Falls Iowa,42.52559892,-92.44936
7/3/13,16:49:03,MVA HIT & RUN,406 W VIKING RD,REPORT INITIATED,406 W VIKING RD Cedar Falls Iowa,-92.475521,42.569242
7/3/13,19:55:20,MVA HIT & RUN,2700 W 12TH ST,REPORT INITIATED,2700 W 12TH ST Cedar Falls Iowa,42.526993,-92.4765146
7/4/13,10:47:05,BURGLARY,2501 MELROSE DR,REPORT INITIATED,2501 MELROSE DR Cedar Falls Iowa,42.51518,-92.431391
7/4/13,18:19:30,BURGLARY,1619 RAINBOW DR,NN,1619 RAINBOW DR Cedar Falls Iowa,42.52104957,-92.42680065
7/8/13,7:58:14,ASSAULT,4117-129 UNIVERSITY AV,REPORT INITIATED,4117 UNIVERSITY AV Cedar Falls Iowa,42.5095292,-92.4614467
7/8/13,21:56:33,ASSAULT,6604-36 SAPPHIRE RD,WARNING & ADVISED,6604 SAPPHIRE RD Cedar Falls Iowa,42.502596,-92.407147
7/9/13,8:47:18,MVA HIT & RUN,1104 COLLEGE ST,REPORT INITIATED,"1104 COLLEGE ST, Cedar Falls Iowa",42.528461,-92.455474
7/9/13,8:49:07,BURGLARY,2235-22 LINCOLN ST,REPORT INITIATED,"2235-22 LINCOLN ST, Cedar Falls Iowa",42.539889,-92.4170649
7/11/13,10:26:22,BURGLARY,700-341 W RIDGEWAY AV,REPORT INITIATED,"700-341 W RIDGEWAY AV, Cedar Falls Iowa",42.4695097,-92.4499044
7/11/13,19:07:44,BURGLARY,1927 MERNER AV,REPORT INITIATED,"1927 MERNER AV, Cedar Falls Iowa",42.520479,-92.459225
7/12/13,10:25:25,BURGLARY,700-735 W RIDGEWAY AV,REPORT INITIATED,"700-735 W RIDGEWAY AV, Cedar Falls Iowa",42.4695201,-92.4546861
7/12/13,14:54:55,ASSAULT,110 N COLLEGE ST,REPORT INITIATED,"110 N COLLEGE ST, Cedar Falls Iowa",42.5382421,-92.4558604
7/12/13,16:50:45,MVA HIT & RUN,214 VIKING PLAZA DR,REPORT INITIATED,"214 VIKING PLAZA DR, Cedar Falls Iowa",42.481582,-92.444288
7/12/13,23:35:42,MVA HIT & RUN,1065 COLLEGE SQUARE MALL,REPORT INITIATED,"1065 COLLEGE SQUARE MALL, Cedar Falls Iowa",42.5348993,-92.4453161
7/14/13,7:29:17,MVA HIT & RUN,5826 UNIVERSITY AV,REFERRED WITHIN DEPT,"5826 UNIVERSITY AV, Cedar Falls Iowa",42.513785,-92.428879
7/15/13,10:26:03,MVA HIT & RUN,524 MAIN ST,REPORT INITIATED,"524 MAIN ST, Cedar Falls Iowa",42.5335951,-92.445491
7/18/13,7:00:15,BURGLARY,BLUEGRASS CT and PRAIRIE PKWY,REPORT INITIATED,"BLUEGRASS CT and PRAIRIE PKWY, Cedar Falls Iowa",42.4968836,-92.4376957
7/18/13,7:00:15,BURGLARY,BLUEGRASS CT and PRAIRIE PKWY,REPORT INITIATED,"BLUEGRASS CT and PRAIRIE PKWY, Cedar Falls Iowa",42.4968836,-92.4376957
7/18/13,8:27:54,BURGLARY,5027 KAEL TRL,REPORT INITIATED,"5027 KAEL TRL, Cedar Falls Iowa",42.4924852,-92.4500033
7/18/13,14:25:13,BURGLARY,2216-1 MERNER AV,REPORT INITIATED,"2216-1 MERNER AV, Cedar Falls Iowa",42.5173366,-92.4586314
7/18/13,18:40:55,BURGLARY,2124-621 W 27TH ST,REPORT INITIATED,"2124-621 W 27TH ST, Cedar Falls Iowa",42.512065,-92.471818
7/20/13,10:37:31,MVA HIT & RUN,524 MAIN ST,INFO EXCHANGE,"524 MAIN ST, Cedar Falls Iowa",42.5335951,-92.445491
7/20/13,16:13:43,BURGLARY,122 CENTER ST,REPORT INITIATED,"122 CENTER ST, Cedar Falls Iowa",42.542077,-92.452044
7/20/13,18:42:34,ASSAULT,3025 S MAIN ST,REPORT INITIATED,"3025 S MAIN ST, Cedar Falls Iowa",42.509624,-92.448528
7/21/13,16:58:39,MVA HIT & RUN,3516 CARLTON DR,REPORT INITIATED,"3516 CARLTON DR, Cedar Falls Iowa",42.5064009,-92.429501
7/21/13,18:00:08,BURGLARY,1641 WATERLOO RD,REPORT INITIATED,"1641 WATERLOO RD, Cedar Falls Iowa",42.523062,-92.439153
7/22/13,8:09:33,BURGLARY,4117 UNIVERSITY AV,REPORT INITIATED,"4117 UNIVERSITY AV, Cedar Falls Iowa",42.504835,-92.407375
7/22/13,9:28:21,MVA HIT & RUN,7213 NORDIC DR,REPORT INITIATED,"7213 NORDIC DR, Cedar Falls Iowa",42.4724296,-92.4475739
7/23/13,11:46:27,MVA HIT & RUN,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
7/24/13,15:35:36,BURGLARY,2235-16 LINCOLN ST,EXTRA ATTENTION,2235-16 LINCOLN ST Cedar Falls Iowa,42.539889,-92.4170649
7/25/13,11:33:15,MVA HIT & RUN,221 W 6TH ST,INFO EXCHANGE,221 W 6TH ST Cedar Falls Iowa,42.5336589,-92.4479928
