date,times,crime,location,disposition,location_geo,lat,long
6/1/13,18:37:59,ASSAULT IN PROGRESS/JUST,2124-323 W 27TH ST,2124-323 W 27TH ST,2124-323 W 27TH ST Cedar Falls Iowa,42.512065,-92.471818
6/4/13,19:22:54,MVA HIT & RUN,522 E 18TH ST,REPORT INITIATED,522 E 18TH ST Cedar Falls Iowa,42.522199,-92.44035
6/6/13,14:14:50,MVA HIT & RUN,515 COLLEGE ST,REPORT INITIATED,515 COLLEGE ST Cedar Falls Iowa,42.533955,-92.458382
6/6/13,17:06:40,WEAPONS VIOLATIONS,2009 FOUR WINDS DR,VERBAL WARNING,2009 FOUR WINDS DR Cedar Falls Iowa,42.503161,-92.469555
6/8/13,17:02:43,BURGLARY,2010 CENTER ST,REPORT INITIATED,2010 CENTER ST Cedar Falls Iowa,42.55417,-92.456571
6/9/13,7:36:32,MVA HIT & RUN,1605 LINDA DR,REPORT INITIATED,1605 LINDA DR Cedar Falls Iowa,42.540934,-92.464372
6/10/13,6:38:04,BURGLARY,522-.5 E 18TH ST,UNKNOWN,522-.5 E 18TH ST Cedar Falls Iowa,42.522199,-92.44035
6/11/13,15:54:44,ASSAULT,1813-61 W 8TH ST,REPORT INITIATED,1813-61 W 8TH ST Cedar Falls Iowa,42.531425,-92.466441
6/11/13,23:50:46,BURGLARY,7712-24 JADE RD,REPORT INITIATED,7712-24 JADE RD Cedar Falls Iowa,42.503231,-92.407222
6/12/13,16:15:21,BURGLARY,922 FRANKLIN ST,REFERRED WITHIN DEPT,922 FRANKLIN ST Cedar Falls Iowa,42.529752,-92.449113
6/13/13,14:27:12,MVA HIT & RUN,UNIVERSITY AV and VALLEY PARK DR,INFO EXCHANGE,UNIVERSITY AV and VALLEY PARK DR Cedar Falls Iowa,42.512972,-92.436778
6/15/13,18:59:21,WEAPON:SHOTS FIRED,1600 W VIKING RD,REPORT INITIATED,1600 W VIKING RD Cedar Falls Iowa,42.484004,-92.463222
6/16/13,2:53:26,BURGLARY IN PROGRESS/JUST,324 COLORADO RD,REPORT INITIATED,324 COLORADO RD Cedar Falls Iowa,42.508213,-92.442336
6/17/13,22:28:45,BURGLARY,2000-10 VALLEY PARK DR,REPORT INITIATED,2000-10 VALLEY PARK DR Cedar Falls Iowa,42.519897,-92.436804
6/18/13,12:51:00,MVA HIT & RUN,2323 BARKWOOD DR,REPORT INITIATED,2323 BARKWOOD DR Cedar Falls Iowa,42.490105,-92.473661
6/19/13,13:48:24,MVA HIT & RUN,UNIVERSITY AV,REPORT INITIATED,UNIVERSITY AV Cedar Falls Iowa,42.506853,-92.465438
6/19/13,14:05:01,MVA HIT & RUN,5725-A UNIVERSITY AV,INFO EXCHANGE,5725-A UNIVERSITY AV Cedar Falls Iowa,42.511333,-92.427019
6/20/13,15:08:35,MVA HIT & RUN,501 IDAHO RD,REPORT INITIATED,501 IDAHO RD Cedar Falls Iowa,42.511926,-92.441075
6/20/13,18:28:02,ASSAULT IN PROGRESS/JUST,1200-BLK LONGVIEW ST,1200-BLK LONGVIEW ST,1200-BLK LONGVIEW ST Cedar Falls Iowa,42.554483,-92.459255
6/21/13,9:33:40,BURGLARY,525 E SEERLEY BLVD,REPORT INITIATED,525 E SEERLEY BLVD Cedar Falls Iowa,42.514465,-92.438794
6/21/13,16:09:03,ASSAULT IN PROGRESS/JUST,2308-2 CENTER ST,REPORT INITIATED,2308-2 CENTER ST Cedar Falls Iowa,42.556857,-92.456791
6/22/13,1:26:50,ASSAULT/AMBULANCE REQUESTED,407 MAIN ST,REPORT INITIATED,407 MAIN ST Cedar Falls Iowa,42.534738,-92.445914
6/22/13,1:47:16,ASSAULT IN PROGRESS/JUST,1217-6 MAPLEWOOD DR,WARNING & ADVISED,1217-6 MAPLEWOOD DR Cedar Falls Iowa,42.509256,-92.431676
6/22/13,4:22:56,MVA HIT & RUN,903-5 MAPLEWOOD DR,REPORT INITIATED,903-5 MAPLEWOOD DR Cedar Falls Iowa,42.509095,-92.435362
6/22/13,12:24:09,ASSAULT,524 MAIN ST,WARNING & ADVISED,524 MAIN ST Cedar Falls Iowa,42.5337,-92.445479
6/23/13,4:29:42,BURGLARY IN PROGRESS/JUST,2124-921 W 27TH ST,REPORT INITIATED,2124-921 W 27TH ST Cedar Falls Iowa,42.512065,-92.471818
6/23/13,9:54:26,BURGLARY,1815 COLLEGE ST,REPORT INITIATED,1815 COLLEGE ST Cedar Falls Iowa,42.521692,-92.456165
6/23/13,9:55:56,STABBING IN PROGRESS,1115 WESTERN AV,REPORT INITIATED,1115 WESTERN AV Cedar Falls Iowa,42.557539,-92.459144
6/24/13,13:30:25,WEAPONS VIOLATIONS,2124-1012 W 27TH ST,REPORT INITIATED,2124-1012 W 27TH ST Cedar Falls Iowa,42.512065,-92.471818
6/24/13,19:15:54,MVA HIT & RUN,UNIVERSITY AV,REPORT INITIATED,UNIVERSITY AV Cedar Falls Iowa,42.506853,-92.465438
6/26/13,7:05:18,MVA HIT & RUN,1928 PLEASANT DR,REPORT INITIATED,1928 PLEASANT DR Cedar Falls Iowa,42.514705,-92.422472
6/28/13,1:19:36,BURGLARY,1311-1 W 1ST ST,REPORT INITIATED,1311-1 W 1ST ST Cedar Falls Iowa,42.538112,-92.461235
6/29/13,12:58:25,MVA HIT & RUN,6TH ST and TREMONT ST,REPORT INITIATED,6TH ST and TREMONT ST Cedar Falls Iowa,42.53321,-92.450831
6/29/13,21:55:28,BURGLARY,2216-31 LINCOLN ST,REPORT INITIATED,2216-31 LINCOLN ST Cedar Falls Iowa,42.542832,-92.417774
6/30/13,18:03:58,MVA HIT & RUN,317 N FRANCIS ST,REPORT INITIATED,317 N FRANCIS ST Cedar Falls Iowa,42.540205,-92.461607
