date,times,crime,location,disposition,location_geo,lat,long
1/1/13,0:47:33,ASSAULT,1104 CLAY ST,REFERRED WITHIN DEPT,1104 CLAY ST Cedar Falls Iowa,42.52848,-92.447871
1/1/13,7:52:24,MVA HIT & RUN,1325 W 5TH ST,REPORT INITIATED,1325 W 5TH ST Cedar Falls Iowa,42.534381,-92.461924
1/1/13,13:28:55,ASSAULT,314-.5 MAIN ST,REFERRED TO OTHER DEPT,314-.5 MAIN ST Cedar Falls Iowa,42.537994,-92.445544
1/1/13,14:02:17,BURGLARY,2124-911 W 27TH ST,REPORT INITIATED,2124-911 W 27TH ST Cedar Falls Iowa,42.512065,-92.471818
1/1/13,14:57:34,MVA HIT & RUN,6301 UNIVERSITY AV,INFO EXCHANGE,6301 UNIVERSITY AV Cedar Falls Iowa,42.511099,-92.435961
1/1/13,17:25:55,MVA HIT & RUN,5826 UNIVERSITY AV,REPORT INITIATED,5826 UNIVERSITY AV Cedar Falls Iowa,42.513785,-92.428879
1/2/13,12:12:59,MVA HIT & RUN,6601-38 SAPPHIRE RD,REPORT INITIATED,6601-38 SAPPHIRE RD Cedar Falls Iowa,42.503012,-92.4076
1/2/13,13:01:49,MVA HIT & RUN,408 E VIKING RD,REPORT INITIATED,408 E VIKING RD Cedar Falls Iowa,42.484015,-92.442431
1/4/13,0:34:42,MVA HIT & RUN,MADISON ST and VIRGIL ST,REPORT INITIATED,MADISON ST and VIRGIL ST Cedar Falls Iowa,42.518966,-92.430018
1/5/13,14:01:37,ASSAULT,314-.5 MAIN ST,ASSISTED,314-.5 MAIN ST Cedar Falls Iowa,42.537994,-92.445544
1/6/13,2:55:37,MVA HIT & RUN,1ST ST and FRANCIS ST,REPORT INITIATED,1ST ST and FRANCIS ST Cedar Falls Iowa,42.537753,-92.461976
1/6/13,16:14:24,MVA HIT & RUN,5809 UNIVERSITY AV,REPORT INITIATED,5809 UNIVERSITY AV Cedar Falls Iowa,42.512369,-92.427441
1/6/13,17:27:22,MVA HIT & RUN,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.511099,-92.435961
1/6/13,17:49:20,BURGLARY,1928 OLIVE ST,REPORT INITIATED,1928 OLIVE ST Cedar Falls Iowa,42.520281,-92.454304
1/7/13,14:50:21,ASSAULT,1728 W 8TH ST,REPORT INITIATED,1728 W 8TH ST Cedar Falls Iowa,42.530817,-92.466396
1/7/13,15:48:39,MVA HIT & RUN,UNIVERSITY AV and WATERLOO RD,REPORT INITIATED,UNIVERSITY AV and WATERLOO RD Cedar Falls Iowa,42.513058,-92.426939
1/9/13,20:59:24,BURGLARY,2413 VALLEY HIGH DR,REPORT INITIATED,2413 VALLEY HIGH DR Cedar Falls Iowa,42.500865,-92.416473
1/10/13,15:34:59,MVA HIT & RUN,UNIVERSITY AV,REPORT INITIATED,UNIVERSITY AV Cedar Falls Iowa,42.469601,-92.543762
1/10/13,15:37:00,MVA HIT & RUN,5291 MARIUS DR,REPORT INITIATED,5291 MARIUS DR Cedar Falls Iowa,42.490354,-92.462447
1/11/13,23:10:15,BURGLARY IN PROGRESS/JUST,822 GROVE ST,AR,822 GROVE ST Cedar Falls Iowa,42.530835,-92.44127
1/12/13,0:49:00,MVA HIT & RUN,323 IOWA ST,REPORT INITIATED,323 IOWA ST Cedar Falls Iowa,42.535218,-92.452352
1/12/13,21:28:22,BURGLARY,2607-3 TERRACE DR,REPORT INITIATED,2607-3 TERRACE DR Cedar Falls Iowa,42.509348,-92.415008
1/13/13,0:26:22,ASSAULT IN PROGRESS/JUST,1813-22 W 8TH ST,REPORT INITIATED,1813-22 W 8TH ST Cedar Falls Iowa,42.531425,-92.466441
