date,times,crime,location,disposition,location_geo,lat,long
5/3/13,14:27:56,MVA HIT & RUN,3211-6 TERRACE DR,REPORT INITIATED,3211-6 TERRACE DR Cedar Falls Iowa,42.509112,-92.40964
5/4/13,0:36:03,STABBING IN,515 COLLEGE ST,REPORT INITIATED,515 COLLEGE ST Cedar Falls Iowa,42.533955,-92.458382
5/4/13,12:45:58,ASSAULT,314-.5 MAIN ST,REPORT INITIATED,314-.5 MAIN ST Cedar Falls Iowa,42.537994,-92.445544
5/5/13,7:56:11,ASSAULT,815 OLIVE ST,REPORT INITIATED,815 OLIVE ST Cedar Falls Iowa,42.530854,-92.455056
5/5/13,8:27:09,MVA HIT & RUN,4116 ROWND ST,REPORT INITIATED,4116 ROWND ST Cedar Falls Iowa,42.500551,-92.420699
5/5/13,10:35:20,ASSAULT,815 OLIVE ST,NN,815 OLIVE ST Cedar Falls Iowa,42.530854,-92.455056
5/5/13,11:08:39,MVA HIT & RUN,1014 W 19TH ST,REPORT INITIATED,1014 W 19TH ST Cedar Falls Iowa,42.521107,-92.457384
5/5/13,18:09:06,MVA HIT & RUN,2124-222 W 27TH ST,REPORT INITIATED,2124-222 W 27TH ST Cedar Falls Iowa,42.512065,-92.471818
5/8/13,14:33:24,MVA HIT & RUN,2508 OLIVE ST,REPORT INITIATED,2508 OLIVE ST Cedar Falls Iowa,42.514661,-92.45432
5/8/13,15:17:44,MVA HIT & RUN,525 E SEERLEY BLVD,INFO EXCHANGE,525 E SEERLEY BLVD Cedar Falls Iowa,42.514465,-92.438794
5/9/13,9:24:04,MVA HIT & RUN,915 CEDAR ST,REPORT INITIATED,915 CEDAR ST Cedar Falls Iowa,42.555125,-92.456657
5/9/13,12:51:40,BURGLARY,1410 W 2ND ST,REPORT INITIATED,1410 W 2ND ST Cedar Falls Iowa,42.536819,-92.46252
5/9/13,14:43:37,ROBBERY,1813-27 W 8TH ST,REPORT INITIATED,1813-27 W 8TH ST Cedar Falls Iowa,42.531425,-92.466441
5/9/13,17:04:54,MVA HIT & RUN,2000-BLK COLLEGE ST,INFO EXCHANGE,2000-BLK COLLEGE ST Cedar Falls Iowa,42.519718,-92.455738
5/12/13,1:55:04,ASSAULT/AMBULANCE REQUESTED,1315-11 W 1ST ST,REPORT INITIATED,1315-11 W 1ST ST Cedar Falls Iowa,42.537647,-92.440655
5/12/13,22:00:22,MVA HIT & RUN,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.48638,-92.440025
5/13/13,14:33:33,MVA HIT & RUN,7401 UNIVERSITY AV,REPORT INITIATED,7401 UNIVERSITY AV Cedar Falls Iowa,42.511643,-92.447129
5/13/13,15:47:26,ROBBERY IN PROGRESS/JUST,402 VIKING PLAZA DR,REPORT INITIATED,402 VIKING PLAZA DR Cedar Falls Iowa,42.484175,-92.43652
5/13/13,17:09:14,ASSAULT,505 HOLMES DR,WARNING & ADVISED,505 HOLMES DR Cedar Falls Iowa,42.534795,-92.471054
5/13/13,23:09:54,MVA HIT & RUN,2515 MAIN ST,REPORT INITIATED,2515 MAIN ST Cedar Falls Iowa,42.514527,-92.446418
5/14/13,13:35:33,ASSAULT,1119-6 MAPLEWOOD DR,REPORT INITIATED,1119-6 MAPLEWOOD DR Cedar Falls Iowa,42.50908,-92.432319
5/14/13,17:16:10,ASSAULT,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.48638,-92.440025
5/14/13,18:49:29,ASSAULT,2419 FERN AV,REPORT INITIATED,2419 FERN AV Cedar Falls Iowa,42.557801,-92.453134
5/15/13,17:13:16,ASSAULT,2628 BIG WOODS RD,ASSISTED,2628 BIG WOODS RD Cedar Falls Iowa,42.560494,-92.436975
5/17/13,22:42:47,MVA HIT & RUN,2006 ASHLAND AV,REPORT INITIATED,2006 ASHLAND AV Cedar Falls Iowa,42.519693,-92.424617
5/19/13,1:11:15,BURGLARY,700-212 W RIDGEWAY AV,REPORT INITIATED,700-212 W RIDGEWAY AV Cedar Falls Iowa,42.534899,-92.445316
5/20/13,10:54:33,WEAPONS VIOLATIONS,2216 LINCOLN ST,WARNING & ADVISED,2216 LINCOLN ST Cedar Falls Iowa,42.542832,-92.417774
5/20/13,20:18:19,MVA HIT & RUN,6306 UNIVERSITY AV,REPORT INITIATED,6306 UNIVERSITY AV Cedar Falls Iowa,42.513801,-92.433563
5/21/13,19:09:09,ASSAULT,2308-2 CENTER ST,REPORT INITIATED,2308-2 CENTER ST Cedar Falls Iowa,42.556857,-92.456791
5/22/13,8:55:28,ASSAULT IN PROGRESS/JUST,1115 W 1ST ST,REPORT INITIATED,1115 W 1ST ST Cedar Falls Iowa,42.53823,-92.459278
5/23/13,14:14:11,BURGLARY,4711 UNIVERSITY AV,REPORT INITIATED,4711 UNIVERSITY AV Cedar Falls Iowa,42.506669,-92.4142
5/24/13,0:44:32,MVA HIT & RUN,321 CEDAR CREST DR,REPORT INITIATED,321 CEDAR CREST DR Cedar Falls Iowa,42.535701,-92.473518
5/27/13,12:40:14,BURGLARY,2124-1012 W 27TH ST,REPORT INITIATED,2124-1012 W 27TH ST Cedar Falls Iowa,42.512065,-92.471818
5/27/13,22:15:22,ASSAULT IN PROGRESS/JUST,3003 HIAWATHA RD,REPORT INITIATED,3003 HIAWATHA RD Cedar Falls Iowa,42.563054,-92.462237
5/30/13,7:52:06,MVA HIT & RUN,6322 UNIVERSITY AV,REPORT INITIATED,6322 UNIVERSITY AV Cedar Falls Iowa,42.514403,-92.433983
5/30/13,7:59:52,BURGLARY,522-.5 E 18TH ST,REPORT INITIATED,522-.5 E 18TH ST Cedar Falls Iowa,42.522199,-92.44035
5/30/13,15:16:39,MVA HIT & RUN,LINCOLN ST and LOGAN ST,REPORT INITIATED,LINCOLN ST and LOGAN ST Cedar Falls Iowa,42.540466,-92.437278
5/30/13,21:50:33,MVA HIT & RUN,1902 PIN OAK DR,REPORT INITIATED,1902 PIN OAK DR Cedar Falls Iowa,42.516028,-92.423291
5/31/13,11:41:03,MVA HIT & RUN,1550 HWY 58,ASSISTED,1550 HWY 58 Cedar Falls Iowa,42.487452,-92.446998
