date,times,crime,location,disposition,location_geo,lat,long
8/1/13,3:27:26,MVA HIT & RUN,630 BALTIMORE ST,REPORT INITIATED,630 BALTIMORE ST Waterloo Iowa,42.485331,-92.350375
8/1/13,5:38:09,BURGLARY,1112 W 2ND ST,REPORT INITIATED,1112 W 2ND ST Waterloo Iowa,42.489966,-92.352995
8/1/13,10:23:01,MVA HIT & RUN,BALTIMORE ST and E RIDGEWAY AV,INFO EXCHANGE,BALTIMORE ST and E RIDGEWAY AV Waterloo Iowa,42.4693919,-92.34959
8/1/13,11:09:08,MVA HIT & RUN,616 ELM ST,ASSISTED,616 ELM ST Waterloo Iowa,42.496965,-92.32356
8/1/13,15:47:04,BURGLARY,2828 SEAWARD DR,REPORT INITIATED,2828 SEAWARD DR Waterloo Iowa,42.5392587,-92.4162088
8/1/13,16:11:10,ASSAULT,DAWSON ST and FAIRVIEW AV,ASSISTED,DAWSON ST and FAIRVIEW AV Waterloo Iowa,42.5140605,-92.3476219
8/1/13,18:34:33,ASSAULT/AMBULANCE REQUESTED,532 INDEPENDENCE AV,REPORT INITIATED,532 INDEPENDENCE AV Waterloo Iowa,42.49807,-92.32123
8/1/13,19:31:25,BURGLARY,1017 FOREST AV,REPORT INITIATED,1017 FOREST AV Waterloo Iowa,42.482343,-92.343495
8/1/13,20:25:38,ASSAULT,2332 FALLS AV,REPORT INITIATED,2332 FALLS AV Waterloo Iowa,42.500389,-92.376468
8/1/13,22:11:22,ASSAULT,118 E 11TH ST,REPORT INITIATED,118 E 11TH ST Waterloo Iowa,42.4931322,-92.3289159
8/1/13,23:56:39,WEAPONS VIOLATIONS,200 PARKVIEW BLVD,REPORT INITIATED,200 PARKVIEW BLVD Waterloo Iowa,42.4798743,-92.353933
8/2/13,7:46:12,BURGLARY,449 KINGBARD BLVD,REPORT INITIATED,449 KINGBARD BLVD Waterloo Iowa,42.4820909,-92.365413
8/2/13,23:08:33,WEAPONS VIOLATIONS,65 CONGER ST,REPORT INITIATED,65 CONGER ST Waterloo Iowa,42.5130918,-92.3374131
8/3/13,0:46:56,ASSAULT,3905 OAK PARK CIR,ASSISTED,3905 OAK PARK CIR Waterloo Iowa,42.509048,-92.401057
8/3/13,6:57:50,MVA HIT & RUN,CATARACT AV and LAUREL ST,REPORT INITIATED,CATARACT AV and LAUREL ST Waterloo Iowa,42.4671803,-92.3487292
8/3/13,8:55:55,BURGLARY,708 HAMMOND AV,REPORT INITIATED,708 HAMMOND AV Waterloo Iowa,42.481774,-92.3379719
8/3/13,10:59:13,MVA HIT & RUN,226 W 5TH ST,REPORT INITIATED,226 W 5TH ST Waterloo Iowa,42.494098,-92.33972
8/3/13,11:17:04,ASSAULT IN PROGRESS/JUST,435 BALTIMORE ST,ARREST / CUSTODY,435 BALTIMORE ST Waterloo Iowa,42.487777,-92.351433
8/3/13,14:30:01,MVA HIT & RUN,307 ALTA VISTA AV,REPORT INITIATED,307 ALTA VISTA AV Waterloo Iowa,42.499758,-92.309334
8/3/13,15:55:05,ASSAULT,HAMMOND AV and E SAN MARNAN DR,REPORT INITIATED,HAMMOND AV and E SAN MARNAN DR Waterloo Iowa,42.4573865,-92.3368972
8/3/13,16:52:08,ASSAULT,506 W 9TH ST,REPORT INITIATED,506 W 9TH ST Waterloo Iowa,42.489291,-92.337912
8/3/13,17:22:05,MVA HIT & RUN,250-BLK FLETCHER AV,REPORT INITIATED,250-BLK FLETCHER AV Waterloo Iowa,42.496055,-92.367099
8/3/13,18:14:17,WEAPONS VIOLATIONS,402 ELM ST,VERBAL WARNING,402 ELM ST Waterloo Iowa,42.4946549,-92.323786
8/3/13,23:08:26,BURGLARY,807-1 W 4TH ST,REPORT INITIATED,807-1 W 4TH ST Waterloo Iowa,42.4902336,-92.3460818
8/4/13,12:49:36,ASSAULT IN PROGRESS/JUST,1209 HAMMOND AV,REPORT INITIATED,1209 HAMMOND AV Waterloo Iowa,42.476323,-92.337118
8/4/13,12:58:51,BURGLARY,727 KINGSLEY AV,WARNED & ADVISED,727 KINGSLEY AV Waterloo Iowa,42.4845309,-92.366469
8/4/13,17:59:44,WEAPONS VIOLATIONS,900-BLK W 5TH ST,EXTRA ATTENTION,900-BLK W 5TH ST Waterloo Iowa,42.4889561,-92.3456953
8/4/13,22:33:58,BURGLARY,326 W 14TH ST,REPORT INITIATED,326 W 14TH ST Waterloo Iowa,42.486949,-92.331114
8/5/13,2:22:50,ASSAULT,1413 BLUFF ST,REPORT INITIATED,1413 BLUFF ST Waterloo Iowa,42.487844,-92.332367
8/5/13,15:22:02,BURGLARY,315 VERMONT ST,REPORT INITIATED,315 VERMONT ST Waterloo Iowa,42.487851,-92.3549479
8/6/13,4:13:50,BURGLARY IN PROGRESS/JUST,3005 UNIVERSITY AV,REPORT INITIATED,3005 UNIVERSITY AV Waterloo Iowa,42.498395,-92.384501
8/6/13,16:24:14,ASSAULT,2249 CASPER AV,REPORT INITIATED,2249 CASPER AV Waterloo Iowa,42.4777119,-92.378838
8/6/13,18:28:31,BURGLARY IN PROGRESS/JUST,48 E PARKER ST,WARNED & ADVISED,48 E PARKER ST Waterloo Iowa,42.516424,-92.336799
8/6/13,18:37:55,ROBBERY,3031 UNIVERSITY AV,REPORT INITIATED,3031 UNIVERSITY AV Waterloo Iowa,42.498746,-92.385259
8/7/13,3:20:01,ASSAULT/AMBULANCE REQUESTED,1629 CORNWALL AV,REPORT INITIATED,1629 CORNWALL AV Waterloo Iowa,42.475292,-92.3314369
8/7/13,4:56:47,ASSAULT,3421 W 9TH ST,REPORT INITIATED,3421 W 9TH ST Waterloo Iowa,42.4641229,-92.3453932
