date,times,crime,location,disposition,location_geo,lat,long
6/1/13,0:52:56,BURGLARY,2233 BYRON AV,REPORT INITIATED,2233 BYRON AV Waterloo Iowa,42.480471,-92.320786
6/1/13,1:42:56,BURGLARY,1117 W MULLAN AV,REPORT INITIATED,1117 W MULLAN AV Waterloo Iowa,42.492552,-92.354463
6/1/13,1:58:25,BURGLARY,LAFAYETTE ST and UTICA ST,W/F 15-30 TRAF-WNG,LAFAYETTE ST and UTICA ST Waterloo Iowa,42.504113,-92.342947
6/1/13,4:09:14,ASSAULT IN PROGRESS/JUST,1416 VINE ST,REPORT INITIATED,1416 VINE ST Waterloo Iowa,42.501244,-92.308992
6/1/13,10:56:20,ASSAULT/AMBULANCE REQUESTED,W 4TH ST and ALLEN ST,REPORT INITIATED,W 4TH ST and ALLEN ST Waterloo Iowa,42.489354,-92.347772
6/1/13,11:03:20,MVA HIT & RUN,E 4TH ST and SYCAMORE ST,REPORT INITIATED,E 4TH ST and SYCAMORE ST Waterloo Iowa,42.498187,-92.335979
6/1/13,17:12:12,MVA HIT & RUN,3005 KIMBALL AV,INFO EXCHANGE,3005 KIMBALL AV Waterloo Iowa,42.4693,-92.356718
6/1/13,23:23:39,WEAPONS VIOLATIONS,201 RATH ST,EXTRA ATTENTION,201 RATH ST Waterloo Iowa,42.490294,-92.320324
6/2/13,2:57:46,ASSAULT/AMBULANCE REQUESTED,1850 W AIRLINE HWY,REPORT INITIATED,1850 W AIRLINE HWY Waterloo Iowa,42.542761,-92.375054
6/2/13,2:59:48,MVA HIT & RUN,313 W 5TH ST,REPORT INITIATED,313 W 5TH ST Waterloo Iowa,42.493125,-92.339732
6/2/13,3:02:45,MVA HIT & RUN,316 W 5TH ST,REPORT INITIATED,316 W 5TH ST Waterloo Iowa,42.493451,-92.340745
6/2/13,3:03:10,ASSAULT/AMBULANCE REQUESTED,723 SOUTH ST,REPORT INITIATED,723 SOUTH ST Waterloo Iowa,42.491029,-92.341427
6/2/13,3:06:13,MVA HIT & RUN,506 W 9TH ST,REPORT INITIATED,506 W 9TH ST Waterloo Iowa,42.489291,-92.337912
6/2/13,3:54:39,ASSAULT IN PROGRESS/JUST,602 LOGAN AV,VERBAL WARNING,602 LOGAN AV Waterloo Iowa,42.508949,-92.337389
6/2/13,9:56:46,BURGLARY,1240 LYON AV,REPORT INITIATED,1240 LYON AV Waterloo Iowa,42.475428,-92.336606
6/2/13,14:27:55,BURGLARY,214-2 SOUTH ST,REPORT INITIATED,214-2 SOUTH ST Waterloo Iowa,42.494237,-92.347507
6/2/13,15:50:26,BURGLARY,523 COLUMBIA ST,REPORT INITIATED,523 COLUMBIA ST Waterloo Iowa,42.510905,-92.342811
6/3/13,0:17:20,BURGLARY,1224-4 OLESON RD,REPORT INITIATED,1224-4 OLESON RD Waterloo Iowa,42.468038,-92.332496
6/3/13,4:58:33,WEAPONS VIOLATIONS,120-.5 HOME PARK BLVD,REPORT INITIATED,120-.5 HOME PARK BLVD Waterloo Iowa,42.486051,-92.356831
6/3/13,11:52:18,MVA HIT & RUN,2181 LOGAN AV,INFO EXCHANGE,2181 LOGAN AV Waterloo Iowa,42.531995,-92.337561
6/3/13,14:33:00,MVA HIT & RUN,2060 CROSSROADS BLVD,INFO EXCHANGE,2060 CROSSROADS BLVD Waterloo Iowa,42.462011,-92.322841
6/3/13,15:21:06,MVA HIT & RUN,1604 LA PORTE RD,REPORT INITIATED,1604 LA PORTE RD Waterloo Iowa,42.470877,-92.323116
6/3/13,15:21:12,MVA HIT & RUN,3421 W 9TH ST,REPORT INITIATED,3421 W 9TH ST Waterloo Iowa,42.464123,-92.345393
6/4/13,0:34:41,ASSAULT IN PROGRESS/JUST,2207 E 4TH ST,REPORT INITIATED,2207 E 4TH ST Waterloo Iowa,42.518658,-92.333102
6/4/13,8:36:17,BURGLARY,1216 GLENNY AV,REPORT INITIATED,1216 GLENNY AV Waterloo Iowa,42.479096,-92.339693
6/4/13,17:28:20,BURGLARY,320 RIEHL ST,REPORT INITIATED,320 RIEHL ST Waterloo Iowa,42.51336,-92.342063
6/4/13,20:57:39,ASSAULT IN PROGRESS/JUST,626 SUMMIT AV,REPORT INITIATED,626 SUMMIT AV Waterloo Iowa,42.489373,-92.366611
6/4/13,22:00:01,ASSAULT IN PROGRESS/JUST,427-104 W DONALD ST,REPORT INITIATED,427-104 W DONALD ST Waterloo Iowa,42.527591,-92.337788
6/4/13,22:57:44,ASSAULT,1410 IRISH DR,REPORT INITIATED,1410 IRISH DR Waterloo Iowa,42.428239,-92.329452
6/5/13,8:02:43,MVA HIT & RUN,1440 FOREST AV,REPORT INITIATED,1440 FOREST AV Waterloo Iowa,42.481816,-92.336038
6/5/13,14:32:57,ASSAULT,821 BROADWAY ST,REPORT INITIATED,821 BROADWAY ST Waterloo Iowa,42.513771,-92.345512
6/5/13,15:04:44,ASSAULT IN PROGRESS/JUST,FOWLER ST and MOBILE ST,REPORT INITIATED,FOWLER ST and MOBILE ST Waterloo Iowa,42.49637,-92.322565
6/5/13,20:30:55,MVA HIT & RUN,3005 KIMBALL AV,INFO EXCHANGE,3005 KIMBALL AV Waterloo Iowa,42.4693,-92.356718
6/5/13,22:20:42,ASSAULT IN PROGRESS/JUST,1010 COLUMBIA ST,REPORT INITIATED,1010 COLUMBIA ST Waterloo Iowa,42.515713,-92.342334
6/5/13,23:42:23,BURGLARY,439 COTTAGE ST,EXTRA ATTENTION,439 COTTAGE ST Waterloo Iowa,42.509613,-92.328029
6/6/13,1:11:15,ASSAULT IN PROGRESS/JUST,319 JEFFERSON ST,REPORT INITIATED,319 JEFFERSON ST Waterloo Iowa,42.496137,-92.343088
6/6/13,7:43:56,MVA HIT & RUN,2130 LAFAYETTE ST,REPORT INITIATED,2130 LAFAYETTE ST Waterloo Iowa,42.48932,-92.313472
6/6/13,9:03:15,BURGLARY,217 UNITY SQUARE DR,REPORT INITIATED,217 UNITY SQUARE DR Waterloo Iowa,42.512088,-92.32216
6/6/13,14:19:42,BURGLARY,303 RICKER ST,REPORT INITIATED,303 RICKER ST Waterloo Iowa,42.51447,-92.330936
6/6/13,14:39:39,BURGLARY,406 ALMOND ST,REPORT INITIATED,406 ALMOND ST Waterloo Iowa,42.504406,-92.335549
6/7/13,0:51:18,ASSAULT,2321 LAFAYETTE ST,REPORT INITIATED,2321 LAFAYETTE ST Waterloo Iowa,42.488299,-92.309551
6/7/13,7:00:16,MVA HIT & RUN,W 4TH ST and WASHINGTON ST,REPORT INITIATED,W 4TH ST and WASHINGTON ST Waterloo Iowa,42.49277,-92.342574
