date,times,crime,location,disposition,location_geo,lat,long
3/1/13,2:51:26,MVA HIT & RUN,2233 W 3RD ST,W/F 31-100 TRAF-ARR,2233 W 3RD ST Waterloo Iowa,42.486392,-92.368416
3/1/13,8:31:46,MVA HIT & RUN,3295 UNIVERSITY AV,INFO EXCHANGE,3295 UNIVERSITY AV Waterloo Iowa,42.500706,-92.38998
3/1/13,17:51:44,MVA HIT & RUN,909 E SAN MARNAN DR,INFO EXCHANGE,909 E SAN MARNAN DR Waterloo Iowa,42.458259,-92.338355
3/2/13,12:33:31,ASSAULT IN PROGRESS/JUST,1459 W 2ND ST,WARNED & ADVISED,1459 W 2ND ST Waterloo Iowa,42.488061,-92.358181
3/2/13,13:37:09,BURGLARY,407 INDEPENDENCE AV,REPORT INITIATED,407 INDEPENDENCE AV Waterloo Iowa,42.498596,-92.323609
3/2/13,15:44:50,BURGLARY,1234 FLAMMANG DR,REPORT INITIATED,1234 FLAMMANG DR Waterloo Iowa,42.461161,-92.332429
3/2/13,18:33:39,MVA HIT & RUN,2105 CASSI RIDGE,INFO EXCHANGE,2105 CASSI RIDGE Waterloo Iowa,42.451159,-92.399023
3/2/13,21:00:31,ASSAULT,1124 WESTERN AV,REPORT INITIATED,1124 WESTERN AV Waterloo Iowa,42.48133,-92.348987
3/2/13,21:45:15,BURGLARY,533 KERN ST,REPORT INITIATED,533 KERN ST Waterloo Iowa,42.514702,-92.346487
3/3/13,1:40:33,ASSAULT,428 E 1ST ST,REPORT INITIATED,428 E 1ST ST Waterloo Iowa,42.502815,-92.337098
3/3/13,1:40:54,BURGLARY,418 ADAMS ST,REPORT INITIATED,418 ADAMS ST Waterloo Iowa,42.51007,-92.328687
3/3/13,2:36:07,ASSAULT/AMBULANCE REQUESTED,1428 E 4TH ST,REPORT INITIATED,1428 E 4TH ST Waterloo Iowa,42.511167,-92.332501
3/3/13,4:26:04,ASSAULT IN PROGRESS/JUST,207-7 RANDALL ST,REPORT INITIATED,207-7 RANDALL ST Waterloo Iowa,42.494802,-92.351117
3/3/13,12:44:23,MVA HIT & RUN,125 COMMERCIAL ST,WARNED & ADVISED,125 COMMERCIAL ST Waterloo Iowa,42.498823,-92.343843
3/3/13,15:04:32,ASSAULT,806 WALNUT ST,REPORT INITIATED,806 WALNUT ST Waterloo Iowa,42.499639,-92.330007
3/3/13,18:37:44,ASSAULT,215-.5 E 5TH ST,REPORT INITIATED,215-.5 E 5TH ST Waterloo Iowa,42.497978,-92.334308
3/4/13,2:24:06,ASSAULT IN PROGRESS/JUST,143 WESTERN AV,REPORT INITIATED,143 WESTERN AV Waterloo Iowa,42.491638,-92.353969
3/4/13,7:34:03,ASSAULT,326 WESTERN AV,REPORT INITIATED,326 WESTERN AV Waterloo Iowa,42.489507,-92.351797
3/4/13,8:51:37,MVA HIT & RUN,1700 W 4TH ST,B/M 15-30 TRAF-ARRE,1700 W 4TH ST Waterloo Iowa,42.48394,-92.357215
3/4/13,9:37:07,ASSAULT,425 E RIDGEWAY AV,REPORT INITIATED,425 E RIDGEWAY AV Waterloo Iowa,42.471221,-92.352119
3/4/13,9:46:10,MVA HIT & RUN,927 W 4TH ST,REPORT INITIATED,927 W 4TH ST Waterloo Iowa,42.488597,-92.348488
3/4/13,10:19:23,ASSAULT,306 MOBILE ST,REPORT INITIATED,306 MOBILE ST Waterloo Iowa,42.497637,-92.322271
3/4/13,13:23:59,MVA HIT & RUN,2060 CROSSROADS BLVD,REPORT INITIATED,2060 CROSSROADS BLVD Waterloo Iowa,42.462011,-92.322841
3/5/13,10:34:52,MVA HIT & RUN,506 W 9TH ST,REPORT INITIATED,506 W 9TH ST Waterloo Iowa,42.489291,-92.337912
3/5/13,17:12:10,MVA HIT & RUN,2060 CROSSROADS BLVD,INFO EXCHANGE,2060 CROSSROADS BLVD Waterloo Iowa,42.462011,-92.322841
3/5/13,17:39:19,MVA HIT & RUN,E 1ST ST and FRANKLIN ST,REPORT INITIATED,E 1ST ST and FRANKLIN ST Waterloo Iowa,42.503574,-92.337698
3/6/13,8:26:11,MVA HIT & RUN,1115 W 5TH ST,INFO EXCHANGE,1115 W 5TH ST Waterloo Iowa,42.486283,-92.347993
3/6/13,13:24:29,WEAPONS VIOLATIONS,1224 MOBILE ST,REFERRED WITHIN DEPT,1224 MOBILE ST Waterloo Iowa,42.508771,-92.321743
3/6/13,13:55:05,ASSAULT,1505 LOGAN AV,REPORT INITIATED,1505 LOGAN AV Waterloo Iowa,42.521822,-92.337782
3/7/13,11:43:14,ASSAULT,832 DAWSON ST,ARREST / CUSTODY,832 DAWSON ST Waterloo Iowa,42.514309,-92.353924
3/7/13,12:41:26,MVA HIT & RUN,FLETCHER AV and UNIVERSITY AV,REFERRED WITHIN DEPT,FLETCHER AV and UNIVERSITY AV Waterloo Iowa,42.496019,-92.367044
3/7/13,17:10:51,BURGLARY,2601 E 4TH ST,REPORT INITIATED,2601 E 4TH ST Waterloo Iowa,42.522642,-92.333067
3/7/13,17:54:38,ASSAULT IN PROGRESS/JUST,218 COTTAGE ST,REPORT INITIATED,218 COTTAGE ST Waterloo Iowa,42.509059,-92.33192
3/7/13,22:49:05,MVA HIT & RUN,300-BLK KENILWORTH RD,REPORT INITIATED,300-BLK KENILWORTH RD Waterloo Iowa,42.473803,-92.362507
3/8/13,12:58:41,BURGLARY,702 RICKER ST,REPORT INITIATED,702 RICKER ST Waterloo Iowa,42.513873,-92.325316
3/8/13,22:21:01,STABBING IN PROGRESS/JUST,429 SAXON ST,REPORT INITIATED,429 SAXON ST Waterloo Iowa,42.50694,-92.334836
3/8/13,23:44:39,MVA HIT & RUN,109 JEFFERSON ST,INFO EXCHANGE,109 JEFFERSON ST Waterloo Iowa,42.497837,-92.345361
3/9/13,1:32:59,WEAPONS VIOLATIONS,312 W 9TH ST,REPORT INITIATED,312 W 9TH ST Waterloo Iowa,42.49062,-92.335989
3/9/13,3:56:39,WEAPONS VIOLATIONS,1107 NEVADA ST,WARNED & ADVISED,1107 NEVADA ST Waterloo Iowa,42.497786,-92.31489
3/9/13,4:05:27,ASSAULT IN PROGRESS/JUST,1111-10 LANGLEY RD,REPORT INITIATED,1111-10 LANGLEY RD Waterloo Iowa,42.467247,-92.334482
3/9/13,13:20:52,ASSAULT,3115 W 9TH ST,REPORT INITIATED,3115 W 9TH ST Waterloo Iowa,42.465573,-92.343127
3/9/13,23:36:36,ASSAULT,200 W 4TH ST,REPORT INITIATED,200 W 4TH ST Waterloo Iowa,42.495076,-92.340777
3/10/13,1:25:30,ASSAULT IN PROGRESS/JUST,2170 LAFAYETTE ST,REPORT INITIATED,2170 LAFAYETTE ST Waterloo Iowa,42.488918,-92.312305
3/10/13,3:01:55,ASSAULT,110 E 11TH ST,REPORT INITIATED,110 E 11TH ST Waterloo Iowa,42.493194,-92.328854
3/10/13,3:20:53,MVA HIT & RUN,1045 W 6TH ST,REPORT INITIATED,1045 W 6TH ST Waterloo Iowa,42.48658,-92.346894
3/10/13,4:31:41,ASSAULT,1822 NEWELL ST,REPORT INITIATED,1822 NEWELL ST Waterloo Iowa,42.512662,-92.304535
3/10/13,11:59:54,BURGLARY,1828 NEWELL ST,REPORT INITIATED,1828 NEWELL ST Waterloo Iowa,42.512664,-92.304313
3/10/13,12:20:18,BURGLARY,2219 RANDOLPH ST,EXTRA ATTENTION,2219 RANDOLPH ST Waterloo Iowa,42.476922,-92.338664
3/10/13,12:55:03,ASSAULT/AMBULANCE REQUESTED,205 UNITY SQUARE DR,REPORT INITIATED,205 UNITY SQUARE DR Waterloo Iowa,42.512088,-92.32216
3/10/13,14:25:52,ASSAULT,617 SYCAMORE ST,REPORT INITIATED,617 SYCAMORE ST Waterloo Iowa,42.497825,-92.335398
3/10/13,15:01:14,ASSAULT IN PROGRESS/JUST,537 COURTLAND ST,REPORT INITIATED,537 COURTLAND ST Waterloo Iowa,42.497629,-92.321045
3/11/13,0:34:15,MVA HIT & RUN,2000-BLK E DONALD ST,REPORT INITIATED,2000-BLK E DONALD ST Waterloo Iowa,42.527046,-92.296428
3/11/13,14:23:09,ASSAULT,425 E RIDGEWAY AV,REPORT INITIATED,425 E RIDGEWAY AV Waterloo Iowa,42.471221,-92.352119
3/11/13,15:50:34,ASSAULT,612 W 8TH ST,REFERRED OTHER DEPT,612 W 8TH ST Waterloo Iowa,42.488999,-92.339859
3/11/13,18:13:58,MVA HIT & RUN,1424 GRANT AV,REPORT INITIATED,1424 GRANT AV Waterloo Iowa,42.485422,-92.336589
