date,times,crime,location,disposition,location_geo,lat,long
5/1/13,8:03:53,BURGLARY,1013-1 MULBERRY ST,REPORT INITIATED,1013-1 MULBERRY ST Waterloo Iowa,42.496897,-92.329216
5/1/13,12:22:07,ASSAULT,1334 FLAMMANG DR,REPORT INITIATED,1334 FLAMMANG DR Waterloo Iowa,42.458825,-92.330526
5/1/13,15:57:32,MVA HIT & RUN,632 W 4TH ST,REPORT INITIATED,632 W 4TH ST Waterloo Iowa,42.49144,-92.344738
5/1/13,19:27:46,ASSAULT,715 MULBERRY ST,REPORT INITIATED,715 MULBERRY ST Waterloo Iowa,42.499031,-92.332181
5/1/13,20:50:48,ASSAULT,1107 MULBERRY ST,ASSISTED,1107 MULBERRY ST Waterloo Iowa,42.496266,-92.328327
5/2/13,0:13:00,ROBBERY,237 ROME AV,REPORT INITIATED,237 ROME AV Waterloo Iowa,42.495987,-92.298818
5/2/13,10:10:47,BURGLARY,3904 CEDAR KNOLL CIR,REPORT INITIATED,3904 CEDAR KNOLL CIR Waterloo Iowa,42.434277,-92.296973
5/2/13,14:52:21,BURGLARY,1565 WAKONDA DR,REPORT INITIATED,1565 WAKONDA DR Waterloo Iowa,42.527669,-92.371364
5/2/13,18:54:46,ASSAULT,1825-204 LA PORTE RD,VERBAL WARNING,1825-204 LA PORTE RD Waterloo Iowa,42.468359,-92.321011
5/2/13,19:35:21,ASSAULT,1918 SPRING VIEW ST,REPORT INITIATED,1918 SPRING VIEW ST Waterloo Iowa,42.50808,-92.302564
5/2/13,22:00:00,ASSAULT,312 W 4TH ST,REPORT INITIATED,312 W 4TH ST Waterloo Iowa,42.493975,-92.341136
5/2/13,22:46:41,BURGLARY,1126-1 LANGLEY RD,REPORT INITIATED,1126-1 LANGLEY RD Waterloo Iowa,42.466595,-92.333924
5/3/13,0:50:43,MVA HIT & RUN,800-BLK WASHINGTON EXPY,REPORT INITIATED,800-BLK WASHINGTON EXPY Waterloo Iowa,42.491331,-92.340432
5/3/13,2:15:39,MVA HIT & RUN,0-BLK W 5TH ST,REPORT INITIATED,0-BLK W 5TH ST Waterloo Iowa,42.489779,-92.345398
5/3/13,11:00:23,MVA HIT & RUN,1015 S HACKETT RD,REPORT INITIATED,1015 S HACKETT RD Waterloo Iowa,42.49996,-92.393231
5/3/13,16:37:52,MVA HIT & RUN,W 9TH ST and WASHINGTON ST,REPORT INITIATED,W 9TH ST and WASHINGTON ST Waterloo Iowa,42.489907,-92.336807
5/3/13,22:13:46,ASSAULT,1428 FOREST AV,REPORT INITIATED,1428 FOREST AV Waterloo Iowa,42.481807,-92.33649
5/3/13,22:28:25,ASSAULT,922 COLUMBIA ST,REFERRED WITHIN DEPT,922 COLUMBIA ST Waterloo Iowa,42.514736,-92.342329
5/3/13,23:21:05,ASSAULT IN PROGRESS/JUST,1820 BOURLAND AV,REPORT INITIATED,1820 BOURLAND AV Waterloo Iowa,42.475419,-92.327422
5/4/13,15:08:44,ASSAULT IN PROGRESS/JUST,428 FRANKLIN ST,REPORT INITIATED,428 FRANKLIN ST Waterloo Iowa,42.501458,-92.334549
5/5/13,0:59:57,ASSAULT,650 LA PORTE RD,REPORT INITIATED,650 LA PORTE RD Waterloo Iowa,42.479642,-92.323681
5/5/13,9:56:23,MVA HIT & RUN,504 RIEHL ST,REPORT INITIATED,504 RIEHL ST Waterloo Iowa,42.513365,-92.345636
5/5/13,19:26:41,BURGLARY,1015 SOUTH HILL DR,REPORT INITIATED,1015 SOUTH HILL DR Waterloo Iowa,42.468535,-92.365374
5/5/13,19:35:36,ASSAULT IN PROGRESS/JUST,600 SOUTH VIEW DR,WARNED & ADVISED,600 SOUTH VIEW DR Waterloo Iowa,42.507183,-92.305146
5/5/13,20:08:16,WEAPONS VIOLATIONS,CHESTNUT ST and LOGAN AV,WARNED & ADVISED,CHESTNUT ST and LOGAN AV Waterloo Iowa,42.508753,-92.337727
5/6/13,11:47:35,ASSAULT/AMBULANCE REQUESTED,529 SUMNER ST,REPORT INITIATED,529 SUMNER ST Waterloo Iowa,42.508581,-92.325345
5/6/13,13:46:16,MVA HIT & RUN,LAFAYETTE ST and E PARK AV,INFO EXCHANGE,LAFAYETTE ST and E PARK AV Waterloo Iowa,42.49969,-92.336074
5/6/13,15:00:15,ASSAULT,225-D MIRIAM DR,REPORT INITIATED,225-D MIRIAM DR Waterloo Iowa,42.478656,-92.353778
5/6/13,16:37:01,BURGLARY,1922 PLYMOUTH AV,REPORT INITIATED,1922 PLYMOUTH AV Waterloo Iowa,42.469977,-92.324234
5/6/13,17:41:54,ASSAULT,235 SCHOOL DR,REPORT INITIATED,235 SCHOOL DR Waterloo Iowa,42.426194,-92.360045
5/6/13,20:01:45,ASSAULT,319 CUTLER ST,REPORT INITIATED,319 CUTLER ST Waterloo Iowa,42.51595,-92.339345
5/6/13,20:15:02,BURGLARY,825 COLUMBIA ST,REPORT INITIATED,825 COLUMBIA ST Waterloo Iowa,42.513861,-92.342943
5/7/13,10:35:11,BURGLARY,1606 W 11TH ST,REPORT INITIATED,1606 W 11TH ST Waterloo Iowa,42.474505,-92.335367
5/7/13,14:18:11,WEAPONS VIOLATIONS,W 2ND ST and RANDOLPH ST,W/M 15-30 INVEST-SR,W 2ND ST and RANDOLPH ST Waterloo Iowa,42.493337,-92.347689
5/7/13,17:52:31,BURGLARY,204 JANNEY AV,REPORT INITIATED,204 JANNEY AV Waterloo Iowa,42.497815,-92.365941
5/7/13,20:25:50,ASSAULT,1023-4 W 3RD ST,REPORT INITIATED,1023-4 W 3RD ST Waterloo Iowa,42.489176,-92.350904
5/7/13,22:27:47,ASSAULT IN PROGRESS/JUST,1522 W 9TH ST,EXTRA ATTENTION,1522 W 9TH ST Waterloo Iowa,42.480524,-92.342845
5/7/13,23:26:22,ASSAULT IN PROGRESS/JUST,1641 MULBERRY ST,REPORT INITIATED,1641 MULBERRY ST Waterloo Iowa,42.494501,-92.321053
5/8/13,8:04:43,BURGLARY,126-2 BROOKERIDGE DR,REPORT INITIATED,126-2 BROOKERIDGE DR Waterloo Iowa,42.459361,-92.358756
5/8/13,8:46:18,BURGLARY,184 GRACELINE BLVD,REPORT INITIATED,184 GRACELINE BLVD Waterloo Iowa,42.481024,-92.358236
5/9/13,0:10:08,BURGLARY IN PROGRESS/JUST,126 RICKER ST,EXTRA ATTENTION,126 RICKER ST Waterloo Iowa,42.513874,-92.333551
5/9/13,9:52:07,WEAPONS VIOLATIONS,302 CEDAR BEND ST,REPORT INITIATED,302 CEDAR BEND ST Waterloo Iowa,42.5194,-92.363592
5/9/13,13:47:25,WEAPONS VIOLATIONS,1448 ASBURY LN,WARNED & ADVISED,1448 ASBURY LN Waterloo Iowa,42.492623,-92.405815
5/9/13,15:25:36,WEAPONS VIOLATIONS,W 1ST ST and COMMERCIAL ST,REFERRED WITHIN DEPT,W 1ST ST and COMMERCIAL ST Waterloo Iowa,42.497922,-92.343964
5/9/13,18:12:11,ASSAULT IN PROGRESS/JUST,310 E 1ST ST,REPORT INITIATED,310 E 1ST ST Waterloo Iowa,42.501913,-92.338478
5/10/13,0:31:09,MVA HIT & RUN,201 COTTAGE GROVE AV,REPORT INITIATED,201 COTTAGE GROVE AV Waterloo Iowa,42.491604,-92.314374
5/10/13,7:33:03,MVA HIT & RUN,1604 LA PORTE RD,REPORT INITIATED,1604 LA PORTE RD Waterloo Iowa,42.470877,-92.323116
5/10/13,12:33:11,WEAPONS VIOLATIONS,119 DEVONSHIRE DR,WARNED & ADVISED,119 DEVONSHIRE DR Waterloo Iowa,42.476044,-92.373224
5/10/13,14:09:26,ASSAULT,4014 UNIVERSITY AV,REPORT INITIATED,4014 UNIVERSITY AV Waterloo Iowa,42.505646,-92.404545
5/10/13,19:07:48,ASSAULT IN PROGRESS/JUST,932 W 3RD ST,REPORT INITIATED,932 W 3RD ST Waterloo Iowa,42.490153,-92.350009
5/11/13,0:13:11,ASSAULT IN PROGRESS/JUST,900-BLK W 5TH ST,VERBAL WARNING,900-BLK W 5TH ST Waterloo Iowa,42.488956,-92.345695
5/11/13,2:15:14,ASSAULT,518 RHEY ST,REPORT INITIATED,518 RHEY ST Waterloo Iowa,42.497117,-92.31898
5/11/13,4:20:10,ASSAULT,100-BLK HARRISON ST,REPORT INITIATED,100-BLK HARRISON ST Waterloo Iowa,42.50687,-92.337729
