date,times,crime,location,disposition,location_geo,lat,long
9/1/13,1:59:33,BURGLARY IN PROGRESS/JUST,522 CONGER ST,REPORT INITIATED,522 CONGER ST Waterloo Iowa,42.512417,-92.346093
9/1/13,2:11:48,ASSAULT,514 PINE ST,REPORT INITIATED,514 PINE ST Waterloo Iowa,42.5036538,-92.3336955
9/1/13,2:42:26,ASSAULT,229 E 4TH ST,REPORT INITIATED,229 E 4TH ST Waterloo Iowa,42.4988735,-92.335162
9/1/13,3:27:58,SHOOTING IN PROGRESS/JUST,1428 E 4TH ST,REPORT INITIATED,1428 E 4TH ST Waterloo Iowa,42.5111747,-92.3325073
9/1/13,4:43:12,WEAPON:SHOTS FIRED,LAFAYETTE ST and E MULLAN AV,REPORT INITIATED,LAFAYETTE ST and E MULLAN AV Waterloo Iowa,42.5025027,-92.3402653
9/1/13,4:43:31,WEAPON:SHOTS FIRED,PARK RD and UTICA ST,REFERRED WITHIN DEPT,PARK RD and UTICA ST Waterloo Iowa,42.5069079,-92.340649
9/1/13,9:05:09,ASSAULT IN PROGRESS/JUST,106 E 3RD ST,REFERRED WITHIN DEPT,106 E 3RD ST Waterloo Iowa,42.498907,-92.338377
9/1/13,15:57:25,ASSAULT,845 MAXWELL ST,REPORT INITIATED,845 MAXWELL ST Waterloo Iowa,42.501323,-92.381347
9/1/13,17:59:00,MVA HIT & RUN,319 SUMNER ST,INFO EXCHANGE,319 SUMNER ST Waterloo Iowa,42.508595,-92.328705
9/1/13,19:04:11,BURGLARY IN PROGRESS/JUST,221-5 BROOKERIDGE DR,WARNED & ADVISED,221-5 BROOKERIDGE DR Waterloo Iowa,42.4593348,-92.3586394
9/2/13,4:09:41,WEAPONS VIOLATIONS,1825 CASTLE ST,REPORT INITIATED,1825 CASTLE ST Waterloo Iowa,42.5129675,-92.3983386
9/2/13,7:45:04,BURGLARY,423 SHERMAN AV,EXTRA ATTENTION,423 SHERMAN AV Waterloo Iowa,42.521912,-92.33556
9/2/13,13:04:24,BURGLARY,3807 HAZELWOOD LN,REPORT INITIATED,3807 HAZELWOOD LN Waterloo Iowa,42.5404191,-92.4147988
9/2/13,15:59:30,ASSAULT IN PROGRESS/JUST,119 CONGER ST,REPORT INITIATED,119 CONGER ST Waterloo Iowa,42.512796,-92.338769
9/2/13,17:06:44,BURGLARY,912 MULBERRY ST,REPORT INITIATED,912 MULBERRY ST Waterloo Iowa,42.4972837,-92.330635
9/2/13,20:35:19,MVA HIT & RUN,56 ZUMA ST,REPORT INITIATED,56 ZUMA ST Waterloo Iowa,42.484479,-92.304811
9/3/13,1:05:13,BURGLARY,326-2 FOWLER ST,REPORT INITIATED,326-2 FOWLER ST Waterloo Iowa,42.496178,-92.324124
9/3/13,12:01:30,MVA HIT & RUN,1000-BLK FLETCHER AV,REPORT INITIATED,1000-BLK FLETCHER AV Waterloo Iowa,42.480376,-92.371802
9/3/13,12:42:08,MVA HIT & RUN,E 7TH ST and SYCAMORE ST,INFO EXCHANGE,E 7TH ST and SYCAMORE ST Waterloo Iowa,42.4961768,-92.3328088
9/3/13,13:29:56,BURGLARY,504 GABLE ST,REPORT INITIATED,504 GABLE ST Waterloo Iowa,42.514893,-92.327534
9/3/13,14:47:03,ASSAULT/AMBULANCE REQUESTED,425 E RIDGEWAY AV,REPORT INITIATED,425 E RIDGEWAY AV Waterloo Iowa,42.471221,-92.352119
9/3/13,19:30:48,MVA HIT & RUN,W 8TH ST and E RIDGEWAY AV,REPORT INITIATED,W 8TH ST and E RIDGEWAY AV Waterloo Iowa,42.4693678,-92.3437083
9/3/13,23:04:14,ASSAULT IN PROGRESS/JUST,INDEPENDENCE AV and VINTON ST,REPORT INITIATED,INDEPENDENCE AV and VINTON ST Waterloo Iowa,42.4983518,-92.3207769
9/4/13,7:01:36,BURGLARY,1825 LOGAN AV,REPORT INITIATED,1825 LOGAN AV Waterloo Iowa,42.526653,-92.339567
9/4/13,8:25:08,ASSAULT,1134 W 8TH ST,REPORT INITIATED,1134 W 8TH ST Waterloo Iowa,42.484327,-92.344679
9/4/13,9:04:35,ASSAULT IN PROGRESS/JUST,500 SYCAMORE ST,WARNED & ADVISED,500 SYCAMORE ST Waterloo Iowa,42.49859,-92.337036
9/4/13,14:07:18,ROBBERY,191 W 5TH ST,REPORT INITIATED,191 W 5TH ST Waterloo Iowa,42.494393,-92.337723
9/4/13,14:46:01,WEAPON:SHOTS FIRED,400-BLK ALLEN ST,REPORT INITIATED,400-BLK ALLEN ST Waterloo Iowa,42.4906463,-92.349097
9/4/13,16:18:26,ASSAULT,217 IRVING ST,ASSISTED,217 IRVING ST Waterloo Iowa,42.497967,-92.326841
