date,times,crime,location,disposition
01/01/2013,01:26:15,ASSAULT IN PROGRESS/JUST,402-2 SULLIVAN AV,WARNED & ADVISED
01/01/2013,04:13:25,ASSAULT,110 E 11TH ST,REPORT INITIATED
01/01/2013,14:20:15,LARCENY/THEFT/SHOPLIFTING,2181 LOGAN AV,REPORT INITIATED
01/01/2013,14:24:48,LARCENY/THEFT/SHOPLIFTING,310-S E 6TH ST,REPORT INITIATED
01/02/2013,13:03:49,BURGLARY,223 WEBSTER ST,REPORT INITIATED
01/02/2013,13:19:25,LARCENY/THEFT/SHOPLIFTING,3331 ELLINGTON ST,REPORT INITIATED
01/02/2013,14:24:48,ASSAULT IN PROGRESS/JUST,1025 SYCAMORE ST,WARNED & ADVISED
01/02/2013,17:28:56,LARCENY/THEFT/SHOPLIFTING,1517 WAKONDA DR,REPORT INITIATED
01/02/2013,17:40:15,LARCENY/THEFT/SHOPLIFTING,930 W 5TH ST,REPORT INITIATED
01/02/2013,18:49:45,BURGLARY,1147 BERTCH AV,REPORT INITIATED
01/02/2013,18:56:35,LARCENY/THEFT/SHOPLIFTING,422 BELMONT AV,REPORT INITIATED
01/02/2013,19:20:51,BURGLARY,617 REBER AV,REPORT INITIATED
01/02/2013,20:13:09,BURGLARY,1133 LEAVITT ST,REPORT INITIATED
01/03/2013,01:37:32,ASSAULT,402 DUNHAM PL,REPORT INITIATED
01/03/2013,05:46:09,LARCENY/THEFT/SHOPLIFTING,2535 W 4TH ST,REPORT INITIATED
01/03/2013,06:38:41,BURGLARY,1133 LEAVITT ST,REFERRED WITHIN DEPT
01/03/2013,07:02:31,LARCENY/THEFT/SHOPLIFTING,151 PERSHING RD,REPORT INITIATED
01/03/2013,10:54:22,LARCENY/THEFT/SHOPLIFTING,603 S HACKETT RD 'WPD FRCT,REFERRED WITHIN DEPT
01/03/2013,11:09:51,LARCENY/THEFT/SHOPLIFTING,1110 PETERS DR,REPORT INITIATED
01/03/2013,12:55:58,WEAPON:SHOTS FIRED,417 ELM ST,ASSISTED
01/03/2013,15:25:30,ASSAULT,501 N ELK RUN RD,REPORT INITIATED
01/03/2013,16:24:39,BURGLARY,216 PALMER DR,REPORT INITIATED
01/03/2013,17:43:18,LARCENY/THEFT/SHOPLIFTING,2541 CROSSROADS BLVD,REPORT INITIATED
01/03/2013,19:57:17,LARCENY/THEFT/SHOPLIFTING,3362 UNIVERSITY AV '715,REPORT INITIATED
01/03/2013,21:15:05,ASSAULT,1130 BAUCH ST,ASSISTED
01/04/2013,03:16:57,ASSAULT,3931 OAK PARK CIR,REPORT INITIATED
01/03/2013,01:37:32,ASSAULT,402 DUNHAM PL,REPORT INITIATED
