date,times,crime,location,disposition,location_geo,lat,long
9/1/13,16:44:20,MVA HIT & RUN,821 TREMONT ST,REPORT INITIATED,821 TREMONT ST Cedar Falls Iowa,42.530661,-92.451194
9/2/13,1:05:37,ASSAULT IN PROGRESS/JUST,401 MAIN ST,REPORT INITIATED,401 MAIN ST Cedar Falls Iowa,42.534867,-92.445914
9/2/13,1:15:34,MVA HIT & RUN,2515 MAIN ST,REPORT INITIATED,2515 MAIN ST Cedar Falls Iowa,42.514338,-92.446364
9/3/13,13:07:26,BURGLARY,3204 PLEASANT DR,REPORT INITIATED,3204 PLEASANT DR Cedar Falls Iowa,42.513375,-92.407729
9/4/13,18:04:13,ASSAULT,700-843 W RIDGEWAY AV,REPORT INITIATED,700-843 W RIDGEWAY AV Cedar Falls Iowa,42.4695247,-92.4554539
9/6/13,12:28:01,BURGLARY,700-410 W RIDGEWAY AV,REPORT INITIATED,700-410 W RIDGEWAY AV Cedar Falls Iowa,42.4694765,-92.448062
9/7/13,10:05:12,BURGLARY,2111-76 COLLEGE ST,REPORT INITIATED,2111-76 COLLEGE ST Cedar Falls Iowa,42.5188361,-92.4558084
9/7/13,14:20:58,ASSAULT,1315-20 W 1ST ST,ASSISTED,1315-20 W 1ST ST Cedar Falls Iowa,42.538113,-92.461602
9/8/13,2:31:07,ROBBERY,800-BLK W 23RD ST,REPORT INITIATED,800-BLK W 23RD ST Cedar Falls Iowa,42.516714,-92.4558066
9/8/13,11:59:15,MVA HIT & RUN,1125 BRANDILYNN BLVD,REPORT INITIATED,1125 BRANDILYNN BLVD Cedar Falls Iowa,42.4850221,-92.4413134
9/8/13,14:40:10,BURGLARY,1016 BARRINGTON DR,REPORT INITIATED,1016 BARRINGTON DR Cedar Falls Iowa,42.529617,-92.467763
9/11/13,20:04:59,BURGLARY,1303 COLLEGE ST,REPORT INITIATED,1303 COLLEGE ST Cedar Falls Iowa,42.526541,-92.456159
9/11/13,22:37:32,MVA HIT & RUN,1939-101 COLLEGE ST,INFO EXCHANGE,1939-101 COLLEGE ST Cedar Falls Iowa,42.5203547,-92.4558042
9/12/13,20:41:35,BURGLARY,1815 CLAY ST,REPORT INITIATED,1815 CLAY ST Cedar Falls Iowa,42.521637,-92.448567
