date,times,crime,location,disposition,location_geo,lat,long
1/1/13,13:28:55,ASSAULT,314-.5 MAIN ST,REFERRED TO OTHER DEPT,314-.5 MAIN ST Cedar Falls Iowa,42.5363373,-92.4456606
1/1/13,0:47:33,ASSAULT,1104 CLAY ST,REFERRED WITHIN DEPT,1104 CLAY ST Cedar Falls Iowa,42.52848,-92.447871
1/5/13,14:01:37,ASSAULT,314-.5 MAIN ST,ASSISTED,314-.5 MAIN ST Cedar Falls Iowa,42.5363373,-92.4456606
1/7/13,14:50:21,ASSAULT,1728 W 8TH ST,REPORT INITIATED,1728 W 8TH ST Cedar Falls Iowa,42.530817,-92.466396
1/13/13,0:26:22,ASSAULT IN PROGRESS/JUST,1813-22 W 8TH ST,REPORT INITIATED,1813-22 W 8TH ST Cedar Falls Iowa,42.5314718,-92.4664355
1/16/13,17:25:25,ASSAULT IN PROGRESS/JUST,1317 STATE ST,REPORT INITIATED,1317 STATE ST Cedar Falls Iowa,42.526169,-92.44471
1/24/13,12:22:18,ASSAULT,2214 COLLEGE ST,ASSISTED,2214 COLLEGE ST Cedar Falls Iowa,42.51726,-92.455453
1/30/13,9:30:24,ASSAULT,GREENHILL RD and S MAIN ST,REPORT INITIATED,GREENHILL RD and S MAIN ST Cedar Falls Iowa,42.498598,-92.4458515
2/1/13,0:40:07,ASSAULT/AMBULANCE REQUESTED,401 MAIN ST,REPORT INITIATED,401 MAIN ST Cedar Falls Iowa,42.534867,-92.445914
2/6/13,13:50:14,ASSAULT,604 W 12TH ST,REPORT INITIATED,604 W 12TH ST Cedar Falls Iowa,42.527354,-92.452363
2/7/13,10:46:56,WEAPONS VIOLATIONS,2024 CENTER ST,REPORT INITIATED,2024 CENTER ST Cedar Falls Iowa,42.554794,-92.456342
2/13/13,15:39:00,Assault,Dancer Hall,Closed,UNI,42.518335,-92.461463
2/13/13,19:17:45,ASSAULT,2218 COLLEGE ST,REPORT INITIATED,2218 COLLEGE ST Cedar Falls Iowa,42.517139,-92.455453
2/16/13,2:19:00,Assault - Assist,Rider Hall,Closed,UNI,42.512423,-92.462485
2/23/13,1:32:24,ASSAULT,2222 COLLEGE ST,REPORT INITIATED,2222 COLLEGE ST Cedar Falls Iowa,42.517033,-92.455506
2/25/13,9:00:00,Assault,E St,Closed,UNI,42.507286,-92.453878
2/28/13,17:57:19,ASSAULT,2235 LINCOLN ST,REPORT INITIATED,2235 LINCOLN ST Cedar Falls Iowa,42.5399047,-92.417072
2/28/13,13:23:05,ASSAULT,1813-3 W 8TH ST,REPORT INITIATED,1813-3 W 8TH ST Cedar Falls Iowa,42.5314718,-92.4664355
3/2/13,1:57:35,ASSAULT,3308-69 EMERALD RD,REPORT INITIATED,3308-69 EMERALD RD Cedar Falls Iowa,42.5026671,-92.408712
3/12/13,11:05:24,ASSAULT,1113 W 8TH ST,REPORT INITIATED,1113 W 8TH ST Cedar Falls Iowa,42.531691,-92.459231
3/14/13,20:41:00,Assault,UNI Dome,Closed,UNI,42.515762,-92.467192
3/14/13,15:47:56,ASSAULT,209-A STATE ST,REPORT INITIATED,209-A STATE ST Cedar Falls Iowa,42.536487,-92.4444819
3/16/13,0:11:14,ASSAULT,220 CLAY ST,REPORT INITIATED,220 CLAY ST Cedar Falls Iowa,42.536401,-92.447759
3/18/13,23:04:09,SHOOTING IN,3105 HUDSON RD,REPORT INITIATED,3105 HUDSON RD Cedar Falls Iowa,42.509201,-92.466176
3/19/13,4:47:33,WEAPONS VIOLATIONS,1704 SUNNYSIDE DR,REPORT INITIATED,1704 SUNNYSIDE DR Cedar Falls Iowa,42.518335,-92.425872
3/26/13,16:46:08,ASSAULT,5500 S MAIN ST,REPORT INITIATED,5500 S MAIN ST Cedar Falls Iowa,42.4884289,-92.444533
3/26/13,0:15:02,ASSAULT IN PROGRESS/JUST,618-4 E SEERLEY BLVD,REPORT INITIATED,618-4 E SEERLEY BLVD Cedar Falls Iowa,42.5157833,-92.4395563
3/31/13,12:59:00,Assault,Campbell Hall,Closed,UNI,42.51718,-92.461573
3/31/13,13:37:00,Assault,Rider Hall,Closed,UNI,42.512423,-92.462485
3/31/13,8:33:46,ASSAULT IN PROGRESS/JUST,4117 UNIVERSITY AV,ASSISTED,4117 UNIVERSITY AV Cedar Falls Iowa,42.504835,-92.407375
3/31/13,1:18:16,ROBBERY,1322 W 1ST ST,REPORT INITIATED,1322 W 1ST ST Cedar Falls Iowa,42.537538,-92.461724
4/2/13,8:53:24,ASSAULT,515 COLLEGE ST,REPORT INITIATED,515 COLLEGE ST Cedar Falls Iowa,42.533955,-92.458382
4/2/13,18:09:54,ASSAULT/AMBULANCE REQUESTED,2010-2 CENTER ST,REPORT INITIATED,2010-2 CENTER ST Cedar Falls Iowa,42.55417,-92.456571
4/4/13,8:00:00,Assault,300 F St,Closed,UNI,42.506804,-92.454326
4/4/13,19:10:52,ASSAULT,330 ORCHARD DR,REPORT INITIATED,330 ORCHARD DR Cedar Falls Iowa,42.506138,-92.442128
4/6/13,1:45:42,ASSAULT IN PROGRESS/JUST,401 MAIN ST,REPORT INITIATED,401 MAIN ST Cedar Falls Iowa,42.534867,-92.445914
4/10/13,1:10:06,ASSAULT IN PROGRESS/JUST,4711-36 UNIVERSITY AV,REPORT INITIATED,4711-36 UNIVERSITY AV Cedar Falls Iowa,42.506669,-92.4141999
4/11/13,23:22:54,ROBBERY IN PROGRESS/JUST,700-302 W RIDGEWAY AV,REPORT INITIATED,700-302 W RIDGEWAY AV Cedar Falls Iowa,42.4695097,-92.4499044
4/12/13,15:49:08,WEAPONS VIOLATIONS,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
4/17/13,17:03:18,ASSAULT,4117-207 UNIVERSITY AV,REPORT INITIATED,4117-207 UNIVERSITY AV Cedar Falls Iowa,42.504835,-92.407375
4/20/13,3:49:15,ASSAULT IN PROGRESS/JUST,1129-1 MAPLEWOOD DR,REPORT INITIATED,1129-1 MAPLEWOOD DR Cedar Falls Iowa,42.5091326,-92.4323075
4/22/13,21:36:48,ASSAULT,2729 HIAWATHA RD,REPORT INITIATED,2729 HIAWATHA RD Cedar Falls Iowa,42.561162,-92.46192
4/22/13,21:36:48,ASSAULT,2729 HIAWATHA RD,REPORT INITIATED,2729 HIAWATHA RD Cedar Falls Iowa,42.561162,-92.46192
4/27/13,17:51:36,ASSAULT,4715 QUESADA AV,REPORT INITIATED,4715 QUESADA AV Cedar Falls Iowa,42.495441,-92.4522719
4/28/13,0:59:00,Sexual Assault - Assist,Off Campus,Closed,UNI,NA,NA
4/30/13,7:59:30,ASSAULT,314-.5 MAIN ST,REPORT INITIATED,314-.5 MAIN ST Cedar Falls Iowa,42.5363373,-92.4456606
4/30/13,22:21:00,Sexual Assault,Roth Hall,Open,UNI,42.5082,-92.450855
5/4/13,12:45:58,ASSAULT,314-.5 MAIN ST,REPORT INITIATED,314-.5 MAIN ST Cedar Falls Iowa,42.5363373,-92.4456606
5/4/13,0:36:03,STABBING IN,515 COLLEGE ST,REPORT INITIATED,515 COLLEGE ST Cedar Falls Iowa,42.533955,-92.458382
5/5/13,7:56:11,ASSAULT,815 OLIVE ST,REPORT INITIATED,815 OLIVE ST Cedar Falls Iowa,42.530854,-92.455056
