date,times,crime,location,disposition,location_geo,lat,long
2013-01-01,13:28:55,ASSAULT,314-.5 MAIN ST,REFERRED TO OTHER DEPT,314-.5 MAIN ST Cedar Falls Iowa,42.5363373,-92.4456606
2013-01-01,0:47:33,ASSAULT,1104 CLAY ST,REFERRED WITHIN DEPT,1104 CLAY ST Cedar Falls Iowa,42.52848,-92.447871
2013-01-01,12:44:15,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-01-01,0:04:17,LARCENY IN PROGRESS,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-01-01,14:02:17,BURGLARY,2124-911 W 27TH ST,REPORT INITIATED,2124-911 W 27TH ST Cedar Falls Iowa,42.512065,-92.471818
2013-01-02,21:34:06,LARCENY IN PROGRESS,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-01-03,10:25:26,LARCENY/THEFT/SHOPLIFTING,2226 COLLEGE ST,ASSISTED,2226 COLLEGE ST Cedar Falls Iowa,42.5169591,-92.4557659
2013-01-04,9:21:49,LARCENY/THEFT/SHOPLIFTING,821 LINCOLN ST,REPORT INITIATED,821 LINCOLN ST Cedar Falls Iowa,42.5402289,-92.434174
2013-01-04,21:01:58,LARCENY/THEFT/SHOPLIFTING,5911-400 UNIVERSITY AV,REPORT INITIATED,5911-400 UNIVERSITY AV Cedar Falls Iowa,42.5109377,-92.4291703
2013-01-04,20:07:48,LARCENY IN PROGRESS,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-01-05,14:01:37,ASSAULT,314-.5 MAIN ST,ASSISTED,314-.5 MAIN ST Cedar Falls Iowa,42.5363373,-92.4456606
2013-01-05,15:37:41,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-01-06,21:36:45,LARCENY IN PROGRESS,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-01-06,17:49:20,BURGLARY,1928 OLIVE ST,REPORT INITIATED,1928 OLIVE ST Cedar Falls Iowa,42.520281,-92.4543039
2013-01-07,20:19:55,LARCENY/THEFT/SHOPLIFTING,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-01-07,14:50:21,ASSAULT,1728 W 8TH ST,REPORT INITIATED,1728 W 8TH ST Cedar Falls Iowa,42.530817,-92.466396
2013-01-09,20:59:24,BURGLARY,2413 VALLEY HIGH DR,REPORT INITIATED,2413 VALLEY HIGH DR Cedar Falls Iowa,42.500865,-92.416473
2013-01-09,16:30:54,LARCENY/THEFT/SHOPLIFTING,2019 COLLEGE ST,REPORT INITIATED,2019 COLLEGE ST Cedar Falls Iowa,42.51893,-92.456235
2013-01-11,23:10:15,BURGLARY IN PROGRESS/JUST,822 GROVE ST,ARREST,822 GROVE ST Cedar Falls Iowa,42.530835,-92.44127
2013-01-11,15:08:51,LARCENY/THEFT/SHOPLIFTING,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-01-12,20:33:34,LARCENY/THEFT/SHOPLIFTING,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-01-12,21:28:22,BURGLARY,2607-3 TERRACE DR,REPORT INITIATED,2607-3 TERRACE DR Cedar Falls Iowa,42.5094171,-92.4149938
2013-01-13,18:56:32,LARCENY IN PROGRESS,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-01-13,18:56:32,LARCENY IN PROGRESS,525 BRANDILYNN BLVD,REPORT INITIATED,525 BRANDILYNN BLVD Cedar Falls Iowa,42.4863799,-92.440025
2013-01-13,0:26:22,ASSAULT IN PROGRESS/JUST,1813-22 W 8TH ST,REPORT INITIATED,1813-22 W 8TH ST Cedar Falls Iowa,42.5314718,-92.4664355
2013-01-14,9:43:49,BURGLARY,4116-104 UNIVERSITY AV,REPORT INITIATED,4116-104 UNIVERSITY AV Cedar Falls Iowa,42.506162,-92.407015
2013-01-14,17:54:54,BURGLARY,2603-6 TERRACE DR,REPORT INITIATED,2603-6 TERRACE DR Cedar Falls Iowa,42.5094176,-92.4150577
2013-01-14,10:36:13,BURGLARY,2008 PRIMROSE DR,REPORT INITIATED,2008 PRIMROSE DR Cedar Falls Iowa,42.504698,-92.421948
2013-01-15,14:17:00,Theft,Towers Lot,Open,UNI,42.519244,-92.462104
2013-01-15,18:30:13,LARCENY/THEFT/SHOPLIFTING,7500 NORDIC DR,REPORT INITIATED,7500 NORDIC DR Cedar Falls Iowa,42.4700826,-92.4477705
2013-01-16,14:17:00,Burglary,Bender Hall,Open,UNI,42.518351,-92.462955
2013-01-16,8:30:00,Theft,Dancer Hall,Open,UNI,42.518335,-92.461463
2013-01-16,14:27:50,LARCENY/THEFT/SHOPLIFTING,6301 UNIVERSITY AV,REPORT INITIATED,6301 UNIVERSITY AV Cedar Falls Iowa,42.5110991,-92.4359608
2013-01-16,17:25:25,ASSAULT IN PROGRESS/JUST,1317 STATE ST,REPORT INITIATED,1317 STATE ST Cedar Falls Iowa,42.526169,-92.44471
